_id,geoid,quarter,ams_bus,ams_oth,ams_res,avg_ns_bus,avg_ns_oth,avg_ns_res,avg_vac_b,avg_vac_o,avg_vac_r,bus_vac,nostat_bus,nostat_oth,nostat_res,ns_12_24_b,ns_12_24_o,ns_12_24_r,ns_24_36_b,ns_24_36_o,ns_24_36_r,ns_36_bus,ns_36_oth,ns_36_res,ns_3_6_bus,ns_3_6_oth,ns_3_6_res,ns_3_bus,ns_3_oth,ns_3_res,ns_6_12_b,ns_6_12_o,ns_6_12_r,oth_vac,pqns_is_b,pqns_is_o,pqns_is_r,pqv_is_bus,pqv_is_oth,pqv_is_res,pqv_ns_bus,pqv_ns_oth,pqv_ns_res,res_vac,vac_12_24b,vac_12_24o,vac_12_24r,vac_24_36b,vac_24_36o,vac_24_36r,vac_36_bus,vac_36_oth,vac_36_res,vac_3_6_b,vac_3_6_o,vac_3_6_r,vac_3_bus,vac_3_oth,vac_3_res,vac_6_12b,vac_6_12o,vac_6_12r,total_address_count,total_avg_vac,total_no_stat,total_pqv_pqns_is,total_vac_count,new_addr_r,new_addr_b,new_addr_o,drop_add_r,drop_add_b,drop_add_o
10938,42045405000,12-Dec,292,92,1092,1780.93,0,1196.89,2147.84,0,1738.9,68,29,0,63,0,0,28,2,0,7,22,0,26,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,3,0,0,0,173,0,0,4,8,0,52,57,0,102,0,0,7,1,0,0,2,0,8,1476,3886,92,3,241,,,,,,
10939,42045405100,12-Dec,56,13,965,1808.17,0,1211.55,1693,0,1858.29,5,6,0,11,0,0,0,1,0,0,5,0,5,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1,0,2,0,0,21,3,0,44,1,0,0,0,0,1,0,0,5,1034,3551,17,0,78,,,,,,
10940,42045405200,12-Dec,44,25,1469,2014.67,0,278.23,1682.25,0,612.03,8,6,0,43,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,1,0,39,0,0,0,0,0,0,0,0,0,0,34,0,0,3,1,0,7,6,0,5,1,0,4,0,0,8,0,0,7,1538,2294,49,0,42,,,,,,
10941,42045405300,12-Dec,39,235,1312,1885.57,0,1502.97,1026.67,0,1475.81,6,7,0,29,0,0,0,0,0,0,7,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,255,3,0,48,1,0,21,2,0,168,0,0,2,0,0,12,0,0,4,1586,2502,36,4,261,,,,,,
10942,42045405400,12-Dec,47,15,1151,0,0,1334.18,2619,0,1213.23,3,0,0,22,0,0,0,0,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,83,0,0,8,0,0,18,3,0,35,0,0,1,0,0,14,0,0,7,1213,3832,22,2,86,,,,,,
10943,42045406100,12-Dec,35,26,910,2091.5,0,1372.67,1167,0,878.27,2,2,0,3,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,1,0,3,1,0,2,0,0,1,0,0,0,0,0,0,971,2045,5,0,13,,,,,,
10944,42045406201,12-Dec,230,18,1821,540.38,0,456.68,1490.5,0,522.6,4,147,0,429,132,0,424,4,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10,0,0,0,1,0,4,2,0,1,0,0,3,0,0,1,1,0,1,2069,2013,576,2,14,,,,,,
10945,42045406202,12-Dec,109,14,2430,2193.75,0,2334,1704.88,0,1154.54,16,4,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,3,1,0,14,14,0,14,0,0,2,0,0,3,0,0,1,2553,2859,5,0,53,,,,,,
10946,42045406300,12-Dec,139,21,1400,1424,0,2212.86,1242.62,0,1258.38,29,25,0,14,0,0,0,1,0,0,15,0,14,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,50,0,0,1,0,0,15,22,0,23,0,0,5,0,0,4,7,0,2,1560,2501,39,2,79,,,,,,
10947,42045406401,12-Dec,7,11,1023,0,0,0,471,0,697.88,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,43,0,0,16,0,0,9,1,0,9,1,0,4,0,0,1,1,0,4,1041,1168,0,4,46,,,,,,
10948,42045406402,12-Dec,108,43,778,793.18,0,746.74,1318,0,1708.19,8,11,0,150,0,0,86,3,0,0,4,0,33,3,0,30,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,62,1,0,1,1,0,13,5,0,39,0,0,3,0,0,1,1,0,5,929,3026,161,0,70,,,,,,
10949,42045406500,12-Dec,76,17,787,1475.75,0,1388.63,1753.2,0,1426.59,5,4,0,38,1,0,0,0,0,0,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,5,0,0,5,3,0,10,0,0,0,0,0,1,1,0,1,880,3179,42,0,27,,,,,,
10950,42045406600,12-Dec,83,54,975,661.5,0,1231.36,1718.83,0,1178.37,6,2,0,11,1,0,4,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,38,2,0,3,0,0,10,4,0,14,0,0,0,0,0,5,0,0,6,1112,2897,13,2,44,,,,,,
10951,42045406700,12-Dec,141,32,1339,2112.87,0,821.64,1233,0,772.91,26,38,0,11,4,0,8,1,0,0,33,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,54,7,0,26,4,0,7,13,0,10,1,0,4,0,0,2,1,0,5,1512,2005,49,3,80,,,,,,
10952,42045406801,12-Dec,179,42,1965,1355.7,0,1252.62,963.11,0,857.52,27,10,0,21,1,0,1,0,0,0,8,0,18,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,27,5,0,0,1,0,7,13,0,7,3,0,5,1,0,1,4,0,7,2186,1820,31,1,54,,,,,,
10953,42045406802,12-Dec,128,39,1839,1407.88,0,1041.45,891.44,0,930.15,9,8,0,29,2,0,14,0,0,0,6,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55,3,0,16,1,0,18,3,0,12,0,0,3,0,0,5,2,0,1,2006,1821,37,0,64,,,,,,
10954,42045406803,12-Dec,244,52,3965,460.6,0,424.37,820.29,0,782.98,14,174,0,374,166,0,342,1,0,29,6,0,2,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,46,8,0,6,1,0,9,2,0,12,0,0,5,0,0,7,3,0,7,4261,1603,548,3,60,,,,,,
10955,42045406902,12-Dec,420,26,2539,705.19,0,559.01,1233.59,0,1626.82,32,151,0,227,117,0,203,1,0,1,33,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,2,0,0,21,0,8,4,0,0,0,0,2,4,0,0,2985,2860,378,0,43,,,,,,
10956,42045406903,12-Dec,71,15,1932,1135.44,0,1818.69,1497.5,0,749.14,6,16,0,13,5,0,3,0,0,1,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,1,0,3,4,0,4,0,0,4,0,0,1,0,0,2,2018,2246,29,0,20,,,,,,
10957,42045406904,12-Dec,147,23,2058,1649.4,0,1265.81,1605.25,0,988.84,12,10,0,48,0,0,1,3,0,13,6,0,28,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,25,0,0,0,1,0,18,9,0,3,0,0,2,0,0,1,2,0,1,2228,2594,58,1,37,,,,,,
10958,42045407000,12-Dec,20,8,1127,389.33,0,852.93,1222.33,0,1832.56,3,3,0,14,2,0,1,0,0,0,0,0,6,0,0,1,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,9,1,0,0,0,0,3,2,0,6,0,0,0,0,0,0,0,0,0,1155,3054,17,1,12,,,,,,
10959,42045407101,12-Dec,48,6,1864,1795,0,1784.35,1641.33,0,1076.12,12,4,0,66,0,0,5,2,0,4,2,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,2,0,9,7,0,10,0,0,1,0,0,5,0,0,0,1918,2717,70,0,37,,,,,,
10960,42045407102,12-Dec,12,2,1193,0,0,1243,672,0,1158.17,2,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,1207,1830,3,0,8,,,,,,
10961,42045407201,12-Dec,247,18,1614,930.5,0,1513.7,723.62,0,1235.07,52,4,0,69,1,0,8,2,0,4,1,0,56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,8,0,1,23,0,2,4,0,8,0,0,0,0,0,0,17,0,3,1879,1958,73,0,66,,,,,,
10962,42045407202,12-Dec,140,37,901,1164.89,0,1269.33,728.6,0,855.65,15,19,0,3,2,0,0,10,0,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,0,3,1,0,7,2,0,4,1,0,0,0,0,1,0,0,2,1078,1584,22,0,32,,,,,,
10963,42045407401,12-Dec,72,29,1636,612.5,0,1191.51,441,0,920,8,2,0,45,0,0,18,1,0,1,0,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,6,0,0,3,0,0,4,0,0,0,0,0,1,0,0,1,1737,1361,47,0,23,,,,,,
10964,42045407404,12-Dec,19,6,1134,1140.75,0,581,2619,0,618.13,1,4,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,1,0,1,0,0,2,0,0,0,0,0,2,1159,3237,5,0,9,,,,,,
10965,42045407501,12-Dec,148,98,1258,1061.2,0,796.71,1015,0,1275.77,13,5,0,7,0,0,4,4,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,2,2,0,6,7,0,12,0,0,0,0,0,2,0,0,0,1504,2290,12,0,35,,,,,,
10966,42045407502,12-Dec,1212,251,2529,482.59,0,423.31,630.04,0,922.49,46,616,0,826,560,0,816,12,0,1,32,0,8,2,0,0,0,0,0,10,0,1,0,0,0,0,2,0,0,0,0,0,35,18,0,0,3,0,1,12,0,17,8,0,4,2,0,5,3,0,8,3992,1552,1442,2,81,,,,,,
10967,42045407600,12-Dec,391,88,2561,500.95,0,419.66,2082.45,0,1379.54,11,210,0,308,198,0,306,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41,1,0,0,0,0,2,10,0,21,0,0,9,0,0,4,0,0,5,3040,3461,518,1,52,,,,,,
10968,42045407700,12-Dec,118,52,1180,2619,0,0,860.33,0,729.59,15,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,10,0,11,2,0,7,3,0,5,0,0,1,0,0,2,0,0,3,1350,1589,4,0,44,,,,,,
10969,42045407801,12-Dec,254,29,1665,1923.31,0,1090,912.27,0,546,15,42,0,5,0,0,0,7,0,3,28,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,7,0,1,3,0,0,1,0,0,0,0,0,4,0,1,1948,1458,47,1,17,,,,,,
10970,42045407802,12-Dec,139,24,2293,1026.92,0,731.67,954.75,0,862,12,12,0,9,1,0,2,6,0,4,3,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,18,1,0,4,2,0,7,3,0,2,0,0,1,0,0,0,6,0,4,2456,1816,21,0,30,,,,,,
10971,42045407803,12-Dec,194,64,1988,1302.69,0,321.33,451.05,0,842.24,19,26,0,3,3,0,1,2,0,0,11,0,0,0,0,1,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,17,1,0,4,2,0,7,1,0,2,1,0,0,0,0,0,14,0,4,2246,1293,29,0,36,,,,,,
10972,42045407804,12-Dec,25,15,1602,763.5,0,0,167,0,452.13,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,1,0,3,1642,619,2,0,9,,,,,,
