_id,geo_id_tract,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
132,42003414101,71,72,63,83,56,87,82,67,53,67
133,42003414102,93,97,73,92,92,71,91,68,78,74
134,42003414200,73,77,65,76,72,77,61,41,60,66
135,42003415001,68,38,37,53,63,60,61,46,45,45
136,42003415002,34,31,31,39,27,17,32,24,38,33
137,42003416000,9,19,16,12,13,20,16,13,21,17
138,42003417100,20,32,26,26,26,37,29,18,19,27
139,42003417200,10,12,6,11,10,13,10,19,9,12
140,42003418000,20,25,21,20,28,22,27,30,23,25
141,42003419000,39,39,40,26,48,37,37,42,52,28
142,42003420000,23,21,23,20,21,12,20,18,16,18
143,42003421100,67,80,64,85,82,80,69,43,49,45
144,42003421200,56,48,56,68,62,54,48,50,52,43
145,42003422000,93,91,71,95,82,70,87,61,74,74
146,42003423000,31,61,42,44,39,40,49,24,30,24
147,42003424000,25,36,43,52,29,54,62,29,32,18
148,42003425000,53,39,39,34,52,55,45,46,27,27
149,42003426300,78,77,88,114,102,99,104,80,76,61
150,42003426400,51,59,62,70,75,66,45,52,60,39
151,42003426700,24,28,17,38,29,31,34,20,21,22
152,42003426800,72,79,78,64,60,72,65,57,68,58
153,42003427000,44,50,42,40,40,41,45,44,25,35
154,42003427100,56,96,55,76,66,86,79,71,64,49
155,42003427200,55,55,56,67,61,73,61,50,54,39
156,42003428100,18,20,10,17,24,17,17,9,14,8
157,42003428200,33,23,29,27,28,31,42,34,26,23
158,42003429100,25,30,34,61,54,30,27,17,27,37
159,42003429201,49,51,49,52,52,54,41,39,36,31
160,42003429202,49,58,45,53,58,77,42,37,38,33
161,42003429300,66,69,91,63,117,65,65,57,67,55
162,42003429400,62,71,65,76,70,81,70,42,64,59
163,42003429500,30,26,33,32,29,40,36,21,23,32
164,42003429600,42,58,43,53,54,61,62,48,40,40
165,42003429700,28,55,24,40,49,47,34,38,33,34
166,42003430100,41,42,26,41,39,24,28,28,19,36
167,42003430200,59,68,57,61,69,54,69,46,58,41
168,42003431100,29,44,42,40,37,32,40,31,21,28
169,42003431400,22,21,22,23,28,32,42,34,15,25
170,42003431500,30,38,28,34,40,28,38,32,19,17
171,42003432300,17,23,20,28,35,34,39,34,26,18
172,42003432400,31,38,25,30,39,33,46,20,41,19
173,42003434000,26,28,27,36,32,28,40,30,37,22
174,42003435000,18,41,35,24,30,34,25,24,20,20
175,42003437000,182,113,138,217,170,149,134,79,74,73
176,42003439000,18,23,16,32,24,21,30,20,27,9
177,42003445500,56,70,51,78,93,59,61,45,47,33
178,42003446000,38,37,27,32,32,35,37,23,26,18
179,42003447000,19,20,11,30,22,30,26,18,14,10
180,42003448000,10,16,20,13,18,21,16,18,18,12
181,42003449000,23,32,24,36,26,27,32,22,25,35
182,42003450700,40,46,40,55,43,47,39,31,38,32
183,42003450800,26,40,29,29,33,33,40,30,28,45
184,42003451101,43,53,59,42,55,50,49,41,45,35
185,42003451102,47,61,61,38,50,43,32,37,45,26
186,42003451104,81,124,75,95,112,76,54,36,53,27
187,42003451105,74,62,50,77,87,67,65,50,45,49
188,42003451300,169,169,131,102,133,138,117,95,111,82
189,42003452000,85,84,119,108,108,111,124,84,75,65
190,42003453003,17,15,14,17,17,14,15,16,19,14
191,42003453004,78,119,81,95,105,89,81,54,80,73
192,42003455000,23,22,18,13,14,17,22,9,14,13
193,42003456001,74,111,87,66,56,80,60,74,61,63
194,42003456003,183,172,158,192,202,147,142,109,119,132
195,42003456004,66,77,81,60,66,56,71,52,45,56
196,42003457100,10,16,15,21,19,18,27,20,11,14
197,42003457200,47,57,46,54,52,40,56,42,47,48
198,42003458000,174,169,157,155,175,158,112,105,94,103
199,42003459101,13,17,21,14,20,13,15,14,13,13
200,42003459102,83,123,97,106,76,72,65,54,58,65
201,42003459201,54,75,63,76,59,101,67,45,49,50
202,42003460001,104,115,83,69,68,48,56,50,62,44
203,42003460002,25,44,43,60,45,40,39,44,29,27
204,42003461000,13,8,5,8,12,11,9,11,11,16
205,42003462100,32,20,22,40,43,30,25,24,28,32
206,42003462600,44,70,50,50,65,61,60,57,49,56
207,42003463900,39,42,27,37,42,26,28,41,40,34
208,42003464300,36,56,40,43,38,40,44,41,25,28
209,42003464400,34,33,16,38,26,32,37,29,44,32
210,42003465600,18,28,11,18,33,27,26,20,20,23
211,42003465800,58,49,46,52,38,51,49,45,48,50
212,42003468700,20,25,11,26,26,22,30,18,25,13
213,42003468800,46,49,59,81,57,40,59,49,42,49
214,42003468900,33,48,39,38,42,47,50,30,32,39
215,42003469000,66,72,68,67,61,65,59,59,58,60
216,42003470300,56,62,46,56,46,51,43,40,44,45
217,42003470400,47,54,55,52,59,55,55,38,35,43
218,42003470501,19,14,23,8,16,16,23,6,11,15
219,42003470502,33,57,38,36,36,29,36,29,30,23
220,42003470600,21,36,30,26,45,25,36,25,39,28
221,42003471000,20,16,22,21,21,16,13,15,12,21
222,42003472100,27,41,34,43,50,37,34,31,39,29
223,42003472200,42,34,22,34,33,37,19,24,28,21
224,42003472300,29,22,22,35,29,34,33,29,26,23
225,42003472400,23,43,29,44,46,39,40,25,30,25
226,42003473100,64,80,64,67,79,55,61,47,54,48
227,42003473200,44,38,24,29,22,33,34,24,32,25
228,42003473300,87,99,94,105,85,102,91,68,78,62
229,42003473401,52,51,46,45,44,36,41,35,29,21
230,42003473402,61,54,45,56,52,56,45,44,41,26
231,42003473500,61,70,46,67,65,43,57,53,36,34
232,42003473601,67,71,68,49,80,56,50,50,57,37
233,42003473602,71,58,54,66,57,58,66,68,48,50
234,42003474101,46,69,58,62,46,43,64,57,53,38
235,42003474102,58,63,51,80,48,58,58,61,49,39
236,42003474201,37,43,38,46,24,38,32,28,27,30
237,42003474202,91,74,72,62,61,58,75,60,78,74
238,42003474203,79,74,77,76,55,70,74,61,63,78
239,42003475101,58,59,48,43,60,54,58,49,37,40
240,42003475102,20,26,14,23,25,21,27,20,14,20
241,42003475200,66,73,68,70,66,69,76,60,56,51
242,42003475301,62,49,53,62,50,53,54,46,39,44
243,42003475303,60,67,63,62,54,52,73,41,52,53
244,42003475304,41,68,44,68,40,52,68,46,64,35
245,42003475401,45,49,48,46,92,49,27,56,48,33
246,42003475402,32,33,30,39,38,35,40,26,29,29
247,42003476100,46,50,45,54,42,48,50,35,54,38
248,42003476200,40,37,40,52,50,58,66,37,42,44
249,42003477100,72,99,64,86,76,66,69,48,60,69
250,42003477200,63,65,56,65,62,69,59,39,57,67
251,42003477300,78,84,63,60,79,69,60,59,51,68
252,42003478100,47,60,52,47,67,60,56,43,53,63
253,42003478200,65,82,87,97,92,85,113,83,80,103
254,42003479000,27,30,28,29,45,30,44,30,24,25
255,42003480101,30,40,41,52,38,47,28,36,39,47
256,42003480102,46,38,32,49,45,49,47,42,34,37
257,42003480200,40,56,38,46,48,48,50,39,55,43
258,42003480300,50,46,43,57,53,43,47,42,33,38
259,42003480400,59,64,50,64,58,66,63,54,65,63
260,42003481000,54,49,52,39,39,47,55,44,41,38
261,42003482500,28,19,32,29,32,22,30,27,27,21
262,42003483800,31,26,20,22,32,26,41,31,36,24
263,42003484300,58,56,20,47,34,57,40,52,62,51
264,42003484500,51,62,65,78,82,75,79,59,65,71
265,42003484600,30,28,23,26,32,36,34,24,13,31
266,42003485000,8,11,13,15,18,15,18,19,13,21
267,42003486700,21,23,24,11,7,19,9,20,13,15
268,42003486800,31,22,16,13,14,19,14,20,16,20
269,42003486900,17,29,11,13,15,20,16,14,20,22
270,42003487000,26,20,11,17,12,13,18,16,25,26
271,42003488100,25,28,15,27,21,41,25,26,35,24
272,42003488200,24,25,49,30,36,46,54,36,47,34
273,42003488300,21,11,19,19,21,19,14,20,37,22
274,42003488400,57,62,47,68,49,66,75,58,55,45
275,42003488500,23,35,31,35,30,38,35,25,36,28
276,42003488600,58,63,61,47,74,68,56,45,56,47
277,42003489001,54,65,52,61,55,70,67,40,53,60
278,42003489002,50,55,54,53,61,47,68,39,33,58
279,42003490002,52,54,38,55,70,47,55,45,44,51
280,42003490003,56,54,42,50,59,36,39,33,41,42
281,42003490004,46,46,41,72,96,81,57,40,55,56
282,42003491101,102,114,124,131,115,111,86,81,58,64
283,42003491200,19,20,20,25,28,18,15,15,15,21
284,42003492700,17,15,27,22,26,26,17,32,27,37
285,42003492800,25,30,33,16,19,39,32,34,28,36
286,42003492900,48,34,35,31,40,40,36,31,36,30
287,42003494000,15,7,16,9,15,18,19,17,12,14
288,42003495000,16,22,20,24,30,32,30,25,21,20
289,42003496101,43,47,29,33,37,39,41,26,26,28
290,42003496102,38,35,50,41,53,43,58,42,32,42
291,42003496200,58,67,44,53,62,77,78,48,51,43
292,42003497000,9,4,5,6,6,11,10,7,14,9
293,42003498000,30,37,28,25,28,34,23,39,35,25
294,42003499300,24,12,25,18,26,24,20,18,25,18
295,42003499400,30,42,33,27,30,39,33,41,31,41
296,42003500300,46,48,45,49,51,51,56,52,63,56
297,42003501000,20,11,7,13,16,15,23,12,17,12
298,42003503002,79,72,70,63,81,69,76,74,62,72
299,42003504100,47,50,61,56,55,60,67,58,48,61
300,42003507000,25,40,22,24,28,25,32,26,30,38
301,42003508000,21,25,15,16,15,21,22,27,19,24
302,42003509400,61,71,42,51,64,60,63,43,68,51
303,42003510000,21,33,18,16,22,27,30,21,20,24
304,42003512000,37,29,26,23,24,32,17,30,27,30
305,42003512800,11,19,14,17,13,11,17,14,14,13
306,42003512900,12,16,14,14,12,12,17,5,14,10
307,42003513800,15,12,15,17,8,7,11,14,10,17
308,42003514000,21,18,21,12,8,10,17,11,10,7
309,42003515100,29,38,37,35,46,46,35,44,45,34
310,42003515200,31,34,25,22,33,30,24,27,21,21
311,42003515300,18,32,21,25,27,28,33,30,19,21
312,42003515401,36,39,34,36,57,45,41,25,27,36
313,42003516100,28,44,35,29,22,27,17,26,26,16
314,42003516200,38,31,38,43,35,27,34,24,31,13
315,42003517000,15,17,9,23,24,30,18,21,14,19
316,42003518001,61,63,56,51,65,74,70,55,68,54
317,42003519000,51,66,54,61,82,79,71,56,60,50
318,42003520001,31,30,47,31,46,47,45,40,34,41
319,42003520002,34,56,40,31,52,52,50,46,50,55
320,42003521100,46,59,47,55,60,66,77,56,66,49
321,42003521200,46,52,48,46,68,55,43,41,52,58
322,42003521301,36,26,32,38,33,47,43,27,50,30
323,42003521302,33,39,25,41,41,40,38,30,44,48
324,42003521401,29,35,35,46,44,31,34,40,19,29
325,42003521402,46,53,48,55,48,64,60,52,51,61
326,42003521500,46,37,47,53,45,50,59,37,44,47
327,42003522000,27,33,26,32,36,38,28,27,30,37
328,42003523100,36,45,61,51,42,57,52,51,46,62
329,42003523200,54,61,58,67,56,60,74,69,74,70
330,42003523300,57,69,54,70,65,82,65,62,57,73
331,42003523400,71,76,65,83,106,101,92,78,99,80
332,42003523501,77,78,75,56,67,84,93,88,73,72
333,42003523502,31,16,19,14,20,29,23,21,27,30
334,42003523600,62,61,91,61,70,77,97,77,66,83
335,42003523701,45,47,54,55,69,55,53,58,50,56
336,42003523702,58,78,48,57,53,57,68,65,75,68
337,42003523800,70,78,71,74,92,93,74,70,78,83
338,42003524000,31,29,30,22,28,25,35,15,18,25
339,42003525100,37,36,25,52,33,40,31,34,40,37
340,42003525200,41,57,44,38,39,46,35,29,30,31
341,42003525300,24,34,22,27,30,29,30,20,19,23
342,42003526101,100,136,86,93,83,105,83,70,82,87
343,42003526102,24,22,17,21,24,23,18,18,20,20
344,42003526201,46,45,37,27,43,51,39,48,44,34
345,42003526202,45,47,49,67,64,54,50,48,43,56
346,42003526301,39,50,39,40,43,47,52,43,38,52
347,42003526302,53,51,33,47,56,46,53,52,38,34
348,42003550900,11,24,13,19,13,9,20,13,26,22
349,42003551200,40,46,29,32,31,40,38,29,35,28
350,42003551300,31,36,19,35,25,28,41,31,39,34
351,42003551900,9,0,6,6,4,2,4,2,6,2
352,42003552000,33,38,26,43,34,35,29,32,39,25
353,42003552100,3,0,5,3,3,1,6,2,1,1
354,42003552200,15,16,17,8,8,12,18,8,10,9
355,42003552300,34,23,37,20,23,31,22,26,28,24
356,42003552400,37,42,49,31,50,31,38,49,36,41
357,42003560400,4,7,4,5,7,10,5,7,6,2
358,42003560500,32,37,28,31,35,27,30,26,18,18
359,42003560600,14,2,9,6,6,3,8,10,9,6
360,42003561000,11,14,5,12,16,16,7,16,9,5
361,42003561100,10,6,3,5,5,2,8,7,13,3
362,42003561200,6,10,15,5,9,9,13,8,12,5
363,42003561400,35,44,56,35,41,51,63,54,46,57
364,42003561500,18,20,18,24,24,25,16,23,26,30
365,42003561600,30,29,16,19,14,17,15,24,25,24
366,42003561700,13,9,9,9,7,10,2,5,10,11
367,42003561900,16,16,9,8,12,15,17,14,10,12
368,42003562000,4,5,1,9,6,6,5,10,2,5
369,42003562300,30,31,27,22,35,38,24,26,33,28
370,42003562400,31,33,18,30,26,41,40,31,22,32
371,42003562500,43,45,36,26,35,41,36,43,33,37
372,42003562600,30,33,33,33,32,33,30,43,30,32
373,42003562700,5,2,4,3,5,4,2,4,1,5
374,42003562800,12,12,22,10,21,26,15,11,16,18
375,42003562900,22,20,21,21,27,11,20,22,19,28
376,42003563000,20,18,28,32,32,30,26,29,36,19
377,42003563100,51,49,48,43,57,52,55,57,47,43
378,42003563200,41,31,42,32,35,41,35,28,29,28
379,42003563300,41,28,24,26,23,20,19,14,28,8
380,42003563800,54,74,44,61,62,62,56,46,44,33
381,42003563900,54,46,49,62,69,73,74,68,56,56
382,42003564000,137,127,99,92,114,94,67,66,57,76
383,42003564100,13,7,9,11,15,16,12,15,19,7
384,42003564200,6,18,15,19,14,21,27,18,22,19
385,42003564400,56,71,59,72,79,74,79,60,74,70
386,42003564500,32,32,35,34,28,28,31,24,18,30
387,42003980500,0,1,0,1,0,0,1,0,0,1
388,42003981800,0,0,0,1,0,0,0,0,1,0
389,42007604800,0,0,1,0,0,0,0,0,0,0
390,42125746100,0,0,0,0,0,0,2,0,0,1
391,42125746302,0,2,1,0,1,0,2,1,2,0
392,42125771100,0,1,0,1,0,0,0,0,0,0
393,42125771200,0,0,0,0,0,1,0,0,0,0
394,42129802101,0,1,3,0,0,1,2,0,0,0
