_id,TRACT,2012
355,42003552100,19
356,42003552200,20
357,42003552300,120
358,42003552400,61
359,42003560400,44
360,42003560500,10
361,42003560600,69
362,42003561000,85
363,42003561100,55
364,42003561200,81
365,42003561400,160
366,42003561500,104
367,42003561600,49
368,42003561700,32
369,42003561900,67
370,42003562000,9
371,42003562300,167
372,42003562400,99
373,42003562500,163
374,42003562600,150
375,42003562700,79
376,42003562800,4
377,42003562900,99
378,42003563000,45
379,42003563100,6
380,42003563200,49
381,42003563300,0
382,42003563800,0
383,42003563900,34
384,42003564000,5
385,42003564100,1
386,42003564200,1
387,42003564400,32
388,42003564500,5
389,42003980000,0
390,42003980100,0
391,42003980300,0
392,42003980400,0
393,42003980500,0
394,42003980600,0
395,42003980700,0
396,42003980800,0
397,42003980900,0
398,42003981000,3
399,42003981100,0
400,42003981200,0
401,42003981800,0
402,42003982200,0
