_id,hood,2010_Total_Population,2010_OneRace_Population,2010_White_Alone_Population,2010_Black_Alone_Population,2010_American_Indian_and_Alaska_Native_alone_population,2010_Asian_Alone_Population,2010_Native_Hawaiian_and_Other_Pacific_Islander_alone_Populatio,2010_Any_other_single_race_alone_Popualtion,2010_Population_two_or_more_races,2010_Hispanic_or_Latino_Population,2020_Total_Population,2020_OneRace_Population,2020_White_Alone_Population,2020_Black_Alone_Population,2020_American_Indian_and_Alaska_Native_alone_population,2020_Asian_Alone_Population,2020_Native_Hawaiian_and_Other_Pacific_Islander_alone_Populatio,2020_Any_other_single_race_alone_Popualtion,2020_Population_two_or_more_races,2020_Hispanic_or_Latino_Population,Change_2010_to_2020_Total_Population,Change_2010_to_2020_OneRace_Population,Change_2010_to_2020_White_Alone_Population,Change_2010_to_2020_Black_Alone_Population,Change_2010_to_2020_American_Indian_and_Alaska_Native_alone_pop,Change_2010_to_2020_Asian_Alone_Population,Change_2010_to_2020_Native_Hawaiian_and_Other_Pacific_Islander_,Change_2010_to_2020_Any_other_single_race_alone_Popualtion,Change_2010_to_2020_Population_two_or_more_races,Change_2010_to_2020_Hispanic_or_Latino_Population
70,South Shore,19,19,19,0,0,0,0,0,0,0,29,27,24,3,0,0,0,0,2,2,10,8,5,3,0,0,0,0,2,2
71,South Side Flats,6597,6515,6142,196,8,143,2,24,82,162,7467,7037,6173,390,4,362,1,107,430,301,870,522,31,194,-4,219,-1,83,348,139
72,South Side Slopes,4423,4321,3916,316,8,42,7,32,102,92,4327,4042,3423,443,1,77,7,91,285,203,-96,-279,-493,127,-7,35,0,59,183,111
73,Spring Garden,884,856,703,134,5,8,0,6,28,20,786,732,596,109,1,9,0,17,54,22,-98,-124,-107,-25,-4,1,0,11,26,2
74,Spring Hill-City View,2648,2581,1799,754,1,18,0,9,67,42,2364,2224,1531,632,3,15,0,43,140,65,-284,-357,-268,-122,2,-3,0,34,73,23
75,Squirrel Hill North,11363,11075,8524,368,21,1935,2,225,288,469,11879,11166,9064,373,13,1523,1,192,713,600,516,91,540,5,-8,-412,-1,-33,425,131
76,Squirrel Hill South,15110,14762,12395,487,11,1723,1,145,348,488,15317,14336,11058,528,16,2487,2,245,981,625,207,-426,-1337,41,5,764,1,100,633,137
77,St. Clair,209,208,110,98,0,0,0,0,1,1,183,172,103,66,1,0,0,2,11,5,-26,-36,-7,-32,1,0,0,2,10,4
78,Stanton Heights,4601,4482,2571,1843,11,40,0,17,119,66,4427,4209,2591,1485,7,80,1,45,218,108,-174,-273,20,-358,-4,40,1,28,99,42
79,Strip District,616,602,466,96,1,39,0,0,14,10,1845,1759,1499,51,5,176,1,27,86,88,1229,1157,1033,-45,4,137,1,27,72,78
80,Summer Hill,1051,1026,866,160,0,0,0,0,25,11,998,929,774,133,1,14,0,7,69,27,-53,-97,-92,-27,1,14,0,7,44,16
81,Swisshelm Park,1361,1331,1226,57,0,43,2,3,30,31,1339,1271,1160,60,0,41,0,10,68,31,-22,-60,-66,3,0,-2,-2,7,38,0
82,Terrace Village,3228,3170,900,2182,6,77,0,5,58,35,2320,2195,514,1557,6,88,1,29,125,65,-908,-975,-386,-625,0,11,1,24,67,30
83,Troy Hill,2714,2663,2204,331,3,108,1,16,51,50,2645,2478,2035,330,3,78,0,32,167,100,-69,-185,-169,-1,0,-30,-1,16,116,50
84,Upper Hill,2057,2014,380,1593,5,21,0,15,43,29,1723,1645,392,1142,12,72,0,27,78,44,-334,-369,12,-451,7,51,0,12,35,15
85,Upper Lawrenceville,2669,2590,1754,751,10,37,1,37,79,83,2394,2266,2018,154,5,74,0,15,128,66,-275,-324,264,-597,-5,37,-1,-22,49,-17
86,West End,254,235,135,95,0,2,0,3,19,1,205,180,118,50,1,6,2,3,25,11,-49,-55,-17,-45,1,4,2,0,6,10
87,West Oakland,2604,2558,1373,1003,7,169,0,6,46,61,2534,2455,1532,608,6,197,2,110,79,112,-70,-103,159,-395,-1,28,2,104,33,51
88,Westwood,3066,2980,2535,250,3,174,1,17,86,44,3332,3147,2196,278,3,592,2,76,185,122,266,167,-339,28,0,418,1,59,99,78
89,Windgap,1369,1336,846,476,0,7,0,7,33,16,1344,1258,713,492,3,19,2,29,86,47,-25,-78,-133,16,3,12,2,22,53,31
