tract,households_avg_size
42003562000,1.34
42003562300,1.84
42003562400,2.34
42003562500,2.28
42003562600,1.98
42003562700,1.40
42003562800,1.84
42003562901,2.43
42003563000,2.29
42003563100,2.14
42003563201,1.40
42003563202,1.38
42003563300,2.44
42003563800,2.08
42003563900,2.05
42003564000,2.69
42003564100,2.27
42003564200,2.10
42003564400,2.14
42003564500,2.52
42003564700,1.77
42003564800,2.54
42003565100,1.71
42003565200,1.92
42003565300,2.32
42003980600,2.33
42003982200,2.67
