tract,mar_married,mar_divorced,mar_never
Geography,Now married (except separated)!!Estimate!!Population 15 years and over,Divorced!!Estimate!!Population 15 years and over,Never married!!Estimate!!Population 15 years and over
42003450700,28.9,16.6,43.3
42003450800,34.5,15.6,36.8
42003451101,57.5,9.0,25.9
42003451102,42.7,7.9,41.6
42003451104,64.3,6.2,20.4
42003451105,37.0,12.5,40.5
42003451300,66.3,5.1,20.0
42003452000,66.3,4.9,23.4
42003453003,61.7,6.4,25.8
42003453004,50.2,12.2,32.7
42003455000,57.2,10.0,23.2
42003456001,54.1,7.6,31.2
42003456003,64.6,7.7,22.1
42003456004,47.7,13.0,26.1
42003457100,36.1,5.1,40.2
42003457200,38.4,11.9,31.2
42003458000,54.8,7.0,28.4
42003459101,63.9,6.5,20.5
42003459102,54.4,8.2,32.4
42003459201,45.3,8.4,36.6
42003459202,24.5,22.1,45.3
42003460001,48.3,10.8,28.1
42003460002,53.9,5.6,29.4
42003461000,34.5,19.0,31.5
42003462100,45.3,11.1,31.1
42003462600,37.2,11.8,36.4
42003463900,25.5,12.6,49.5
42003464300,47.5,12.5,26.6
42003464400,21.0,13.6,54.4
42003465600,45.5,13.9,29.2
42003465800,49.2,9.5,35.5
42003468700,44.0,12.5,32.0
42003468800,36.7,12.8,38.8
42003468900,41.1,13.2,34.7
42003469000,59.8,5.0,26.5
42003470300,50.4,9.2,24.1
42003470400,52.7,9.9,25.7
42003470501,42.9,9.0,39.5
42003470502,57.5,7.9,19.9
42003470600,39.1,13.1,30.8
42003471000,39.8,12.1,36.6
42003472100,41.6,8.9,38.9
42003472200,46.0,11.9,35.8
42003472300,27.5,8.7,54.5
42003472400,48.4,5.6,32.0
42003473100,55.4,13.1,23.8
42003473200,50.1,10.4,30.3
42003473300,54.1,6.8,26.3
42003473401,60.2,6.2,26.3
42003473402,56.4,10.1,25.7
42003473500,70.2,5.4,18.5
42003473601,60.7,5.6,23.1
42003473602,55.8,10.8,19.3
42003474101,67.0,6.1,22.2
42003474102,70.5,6.4,20.1
42003474201,68.1,4.9,22.5
42003474202,65.9,5.2,17.0
42003474203,69.1,3.9,22.3
42003475101,48.9,11.8,24.5
42003475102,55.9,10.9,25.7
42003475200,64.5,6.7,19.9
42003475301,55.7,6.3,25.2
42003475303,63.5,5.1,23.3
42003475304,60.8,7.2,25.9
42003475401,64.2,6.0,18.9
42003475402,61.6,6.4,26.0
42003476100,45.1,11.5,36.8
42003476200,56.1,10.0,24.3
42003477100,55.6,5.0,28.0
42003477200,58.0,4.0,24.4
42003477300,47.8,8.2,32.6
42003478100,44.2,9.2,34.4
42003478200,48.2,10.6,33.4
42003479000,63.4,8.2,22.3
42003480101,47.1,8.9,30.8
42003480102,55.9,6.2,27.0
42003480200,55.1,8.4,26.5
42003480300,55.4,4.4,29.4
42003480400,50.3,9.4,29.1
42003481000,32.4,11.8,42.6
42003482500,47.7,8.9,35.4
42003483800,26.8,11.6,50.9
42003484300,29.4,15.8,43.1
42003484500,48.5,7.9,30.3
42003484600,40.7,9.3,35.3
42003485000,42.0,10.8,34.5
42003486700,23.3,10.7,57.5
42003486800,36.4,11.3,37.7
42003486900,26.7,15.5,37.0
42003487000,48.3,12.2,27.1
42003488100,42.1,13.4,31.7
42003488200,41.8,8.0,43.2
42003488300,55.5,8.9,25.0
42003488400,43.9,10.0,33.6
42003488500,47.0,5.8,32.8
42003488600,53.3,10.0,24.6
42003489001,57.9,6.1,20.0
42003489002,62.1,5.4,25.7
42003490002,48.9,13.5,27.2
42003490003,57.1,5.2,31.7
42003490004,59.8,8.2,24.1
42003491101,62.8,4.9,26.7
42003491200,51.5,11.6,26.1
42003492700,29.6,13.2,44.5
42003492800,31.4,11.1,40.5
42003492900,35.0,16.1,36.2
42003494000,43.2,12.3,29.0
42003495000,52.6,8.2,21.1
42003496101,63.6,9.1,21.4
42003496102,62.4,9.0,20.6
42003496200,49.7,13.2,25.6
42003497000,51.5,10.7,25.0
42003498000,46.0,12.4,29.8
42003499300,49.3,11.6,28.5
42003499400,30.8,15.0,37.1
42003500300,51.6,17.1,21.4
42003501000,41.0,14.5,29.7
42003503002,48.3,7.4,29.4
42003504100,41.9,13.4,33.4
42003507000,41.5,10.1,33.1
42003508000,27.5,14.2,41.7
42003509400,38.8,10.4,36.8
42003510000,30.5,9.2,51.8
42003512000,35.7,10.5,41.1
42003512800,17.8,11.3,51.1
