tract,edu_hsplus,edu_bachelorsplus
42003475303,96.4,50.3
42003475304,98.5,54.7
42003475401,93.3,36.8
42003475402,97.2,45.5
42003476100,89.0,27.2
42003476200,93.8,28.6
42003477100,94.3,33.7
42003477200,92.3,34.5
42003477300,90.0,30.6
42003478100,96.0,26.0
42003478200,92.1,24.8
42003479000,94.7,28.5
42003480101,86.3,20.9
42003480102,95.7,16.0
42003480200,93.8,29.4
42003480300,93.6,23.6
42003480400,93.4,23.4
42003481000,76.0,10.4
42003482500,91.3,21.4
42003483800,90.0,23.2
42003484300,87.3,24.4
42003484500,93.7,23.3
42003484600,88.7,15.7
42003485000,87.6,11.3
42003486700,93.3,6.7
42003486800,88.2,6.2
42003486900,84.0,18.5
42003487000,90.7,15.1
42003488100,90.3,19.7
42003488200,90.1,17.6
42003488300,92.2,25.0
42003488400,93.9,14.3
42003488500,94.9,18.6
42003488600,92.0,20.7
42003489001,93.2,38.8
42003489002,98.4,40.9
42003490002,92.3,25.7
42003490003,93.9,35.4
42003490004,93.6,35.7
42003491101,94.8,48.7
42003491200,95.7,27.8
42003492700,88.5,11.9
42003492800,85.8,11.0
42003492900,92.0,12.8
42003494000,90.2,13.0
42003495000,91.5,13.1
42003496101,95.2,31.1
42003496102,95.5,25.5
42003496200,96.2,24.6
42003497000,88.2,13.0
42003498000,92.5,13.5
42003499300,89.8,20.6
42003499400,84.8,9.4
42003500300,93.7,12.1
42003501000,87.2,13.4
42003503002,94.9,24.3
42003504100,87.9,10.9
42003507000,89.6,13.4
42003508000,86.2,13.0
42003509400,91.4,10.3
42003510000,91.4,12.6
42003512000,81.9,8.4
42003512800,88.7,4.9
42003512900,86.6,5.1
42003513800,82.1,13.6
42003514000,85.5,8.9
42003515100,89.8,23.1
42003515200,94.9,36.5
42003515300,90.2,19.3
42003515401,96.8,50.1
42003516100,94.1,59.6
42003516200,96.1,63.5
42003517000,90.6,22.6
42003518001,97.1,53.6
42003519000,97.2,56.9
42003520001,94.8,38.3
42003520002,96.1,29.4
42003521100,95.6,33.7
42003521200,88.7,37.6
42003521301,90.5,38.5
42003521302,91.9,39.3
42003521401,93.7,28.3
42003521402,98.7,52.7
42003521500,94.0,31.1
42003522000,93.6,21.4
42003523100,90.7,12.6
42003523200,90.6,27.1
42003523300,91.2,26.0
42003523400,95.5,21.8
42003523501,93.6,19.7
42003523502,86.8,14.5
42003523600,94.8,27.8
42003523701,88.3,18.5
42003523702,88.8,19.2
42003523800,93.0,33.2
42003524000,90.0,13.8
42003525100,97.7,49.4
42003525200,93.3,34.0
42003525300,91.4,38.2
42003526101,96.9,38.3
42003526102,91.4,24.0
42003526201,91.9,30.3
42003526202,95.2,31.4
42003526301,93.7,31.6
42003526302,95.5,42.4
42003550900,83.0,13.1
42003551200,82.0,4.3
42003551300,95.4,16.7
42003551900,89.7,9.5
42003552000,92.2,4.0
42003552100,75.7,7.6
42003552200,86.8,10.5
42003552300,82.5,11.0
42003552400,85.9,15.1
42003560400,88.6,24.1
42003560500,96.4,59.7
42003560600,89.1,12.4
42003561000,86.3,17.1
42003561100,83.6,14.5
42003561200,84.9,16.7
42003561400,88.8,25.7
42003561500,92.0,25.6
42003561600,77.1,6.3
42003561700,93.2,13.3
42003561900,85.2,20.6
42003562000,91.6,69.4
42003562300,74.8,13.8
42003562400,82.8,13.7
42003562500,79.5,14.4
42003562600,84.2,10.6
42003562700,84.5,45.4
42003562800,92.3,23.4
42003562900,79.0,12.3
42003563000,88.9,17.2
42003563100,88.5,26.4
42003563200,80.6,30.3
42003563300,97.1,65.8
42003563800,95.7,48.5
42003563900,95.1,41.3
42003564000,92.5,30.8
42003564100,99.4,68.9
42003564200,94.9,21.2
42003564400,91.8,23.4
42003564500,92.6,21.0
42003980000,100.0,41.0
42003980100,-,-
42003980300,100.0,0.0
42003980400,85.7,0.0
42003980500,43.5,43.5
42003980600,-,-
42003980700,100.0,43.5
42003980800,-,-
42003980900,65.1,0.0
42003981000,100.0,0.0
42003981100,-,-
42003981200,-,-
42003981800,67.4,7.2
42003982200,86.4,31.8
