tract,pop_age_under5,pop_age_5to9,pop_age_10to14,pop_age_15to19,pop_age_20to24,pop_age_25to29,pop_age_30to34,pop_age_35to39,pop_age_40to44,pop_age_45to49,pop_age_50to54,pop_age_55to59,pop_age_60to64,pop_age_65to69,pop_age_70to74,pop_age_75to79,pop_age_80to84,pop_age_85plus
42003412004,4.8,9.1,12.2,4.0,2.2,5.0,1.9,3.8,12.3,8.0,10.8,5.8,5.5,4.9,3.6,4.7,0.0,1.6
42003413100,4.3,3.9,7.6,9.1,2.1,4.5,3.5,8.8,4.8,4.8,9.3,8.4,9.0,7.4,4.6,3.9,1.3,2.8
42003413201,7.5,5.9,5.6,3.9,6.7,7.1,7.3,7.3,4.0,6.0,4.6,6.2,7.5,7.6,4.3,3.6,2.6,2.4
42003413202,6.3,4.9,4.7,6.2,2.9,2.1,7.3,7.9,3.0,5.7,9.2,8.7,6.4,7.2,7.8,2.7,4.6,2.3
42003413300,5.8,4.7,4.4,3.8,3.5,3.0,7.9,5.1,4.2,8.1,4.5,8.5,7.3,5.6,10.4,5.9,3.4,3.9
42003413400,7.2,8.3,7.7,4.4,2.1,3.1,5.5,4.8,10.4,4.4,7.1,7.1,9.9,4.9,4.0,4.6,1.6,2.9
42003413500,4.0,2.2,3.7,7.9,9.0,14.9,5.9,6.6,4.6,5.5,7.5,6.3,5.0,4.7,2.3,2.7,2.4,4.9
42003414101,7.4,3.5,7.1,7.3,4.0,6.7,3.9,6.1,5.0,7.2,6.5,7.5,13.0,5.6,2.9,3.1,2.3,0.9
42003414102,6.5,6.7,6.9,6.0,3.6,4.5,7.8,5.7,7.6,6.1,6.5,6.2,7.4,5.2,2.6,3.2,3.9,3.7
42003414200,11.6,5.8,4.2,6.2,1.6,5.9,3.8,5.1,9.6,4.7,6.2,7.4,6.1,8.2,5.4,4.1,2.1,2.2
42003415001,4.2,6.5,7.9,7.7,3.2,5.1,4.3,6.3,5.4,8.8,8.1,9.2,8.8,5.0,3.3,1.8,2.5,1.9
42003415002,3.1,7.8,4.3,5.0,2.9,6.3,6.0,4.7,5.4,4.0,8.2,11.2,7.9,8.4,6.9,3.9,1.8,2.0
42003416000,1.8,1.9,2.6,3.8,5.8,7.3,6.5,2.9,2.1,3.6,11.5,12.7,14.0,8.8,5.3,4.3,3.0,2.2
42003417100,7.0,4.7,3.4,4.6,2.7,5.2,7.2,7.2,5.0,4.8,6.8,9.3,7.2,12.9,3.0,3.3,1.8,3.8
