PARID,Address,Lat,Lon
1242L00056000000,3785 LOGAN FERRY RD PITTSBURGH PA 15239,40.4749936,-79.9188526
1242L00096000000,3784 LOGAN FERRY RD PITTSBURGH PA 15239,40.4667793,-79.9282
1240R00347000000,1 JENNY LYNN CT PITTSBURGH PA 15239,40.46954601,-79.92081737
1241B00237000000,80 TIMOTHY DR PITTSBURGH PA 15239,40.46923079,-79.92112217
1240P00132000000,750 PRESQUE ISLE DR PITTSBURGH PA 15239,40.46656865,-79.92565515
1242L00106000000,3782 LOGAN FERRY RD PITTSBURGH PA 15239,40.4615313,-79.9206736
1242L00116000000,200 SHANGRI LA LN PITTSBURGH PA 15239,40.464343,-79.918521
1242L00126000000,1 SHANGRI LA CIR PITTSBURGH PA 15239,40.4601501,-79.9243545
0329B00040000000,801 BEACON DR OAKDALE PA 15071,40.46398536,-79.92033818
0329C00010000000,1100 WOODRUFF CIR OAKDALE PA 15071,40.46295493,-79.92110687
0875P00239000000,2300 DEVONWOOD DR MC KEESPORT PA 15135,40.46349551,-79.91716101
1076M00200000000,2735 W MINISTER CIR ALLISON PARK PA 15101,40.45243691,-79.92249185
0801H00247000000,101 W PINES RD IMPERIAL PA 15126,40.4470315,-79.9483043
0109J00077000000,100 ADAMS DR MC KEES ROCKS PA 15136,40.4470315,-79.9483043
0416H00320000000,401 ELKWOOD DR CORAOPOLIS PA 15108,40.43000885,-79.92787617
0341R00101000000,1502 WOODCREST AVE CORAOPOLIS PA 15108,40.43449979,-79.92414362
0318E00340000000,135 ABBEYVILLE RD PITTSBURGH PA 15228,40.43814908,-79.92465806
0319H00026000000,115 ABBEYVILLE RD PITTSBURGH PA 15228,40.42762695,-79.92571022
0098F00241000000,1425 MCFARLAND RD PITTSBURGH PA 15216,40.4295994,-79.9236213
0698N00296000000,284 MOON CLINTON RD CORAOPOLIS PA 15108,40.44720986,-79.89568593
0099M00170000000,321 BEVERLY RD PITTSBURGH PA 15216,40.42748614,-79.94363149
0698N00168000000,289 MOON CLINTON RD CORAOPOLIS PA 15108,40.42514496,-79.96566743
0698N00176000000,285 MOON CLINTON RD CORAOPOLIS PA 15108,40.41637986,-80.01288405
0807M00121000000,120 FOXWOOD RD CORAOPOLIS PA 15108,40.40784737,-80.01375739
1072N00010000000,2401 SALISBURY CT WEXFORD PA 15090,40.59168,-80.0308
0944D00326000000,4600 RINAMAN RD WEXFORD PA 15090,40.58788,-80.03298
1072N00125000000,4311 ARTHUR DR WEXFORD PA 15090,40.4678486,-80.0102063
1072N00332000000,3601 ARTHUR DR WEXFORD PA 15090,40.45686631,-80.00907925
0141K00178000000,732 ROSELAWN AVE PITTSBURGH PA 15228,40.45468676,-80.02024262
0192P00071000000,131 MOUNT LEBANON BLVD PITTSBURGH PA 15228,40.36721,-80.04234
0141K00287000000,221 BUCHANAN PL PITTSBURGH PA 15228,40.37962,-80.0427
0141A00110000000,50 ACADEMY AVE PITTSBURGH PA 15228,40.46121412,-79.92346053
0141A00119000000,44 ACADEMY AVE PITTSBURGH PA 15228,40.38352,-80.04636
0688H00010000000,100 OLD MILL RD OAKDALE PA 15071,40.46052944,-79.91328322
0688H00020000000,200 OLD MILL RD OAKDALE PA 15071,40.42136,-80.21749
0688H00050000000,100 CRYSTAL CREEK CIR OAKDALE PA 15071,40.41956,-80.21987
0589C00014000000,101 HAWTHORNE CIR OAKDALE PA 15071,40.44156,-80.20762
0590L00041000000,3034 ESTATE DR OAKDALE PA 15071,40.44707,-80.20576
0590L00042000000,3300 ESTATE DR OAKDALE PA 15071,40.44742,-80.20828
0547A00297000000,1500 ICE PLANT RD NORTH VERSAILLES PA 15137,40.38496,-79.81435
0457S00150000000,1650 ROSEDALE ST NORTH VERSAILLES PA 15137,40.38693,-79.81878
0457S00176000000,1600 ROSEDALE ST NORTH VERSAILLES PA 15137,40.38663,-79.82065
0826J00039000000,425 CUMBERLAND RD PITTSBURGH PA 15237,40.57352,-80.03
0228G00050000000,1000 RIVERFRONT DR PITTSBURGH PA 15238,40.48696,-79.87516
0645A00059000000,1345 WALNUT AVE NORTH VERSAILLES PA 15137,40.37522,-79.79796
0448B00290000000,190 SYCAMORE DR PITTSBURGH PA 15235,40.48251,-79.82858
0540N00039000000,3910 OLD WILLIAM PENN HWY PITTSBURGH PA 15235,40.44512,-79.81243
0634G00188000000,101 TWIN OAK DR PITTSBURGH PA 15235,40.37733701,-79.97552381
0634G00192000000,101 OAK MANOR PL PITTSBURGH PA 15235,40.369128,-79.97582723
0369F00293000000,3541 LAKETON RD PITTSBURGH PA 15235,40.45951935,-80.01729816
0449R00098000000,201 JEFFERSON RD PITTSBURGH PA 15235,40.45908191,-80.01954198
0533S00347000000,1654 RELATIVE DR VERONA PA 15147,40.3719839,-80.0068173
0537P00165000000,400 PARK MANOR PL PITTSBURGH PA 15235,40.43569097,-80.01404922
0533R00097000000,101 ARBORS LN VERONA PA 15147,40.51345,-79.80392
0538L00207000000,28 STOTLER RD PITTSBURGH PA 15235,40.4653,-79.80608
0334R00025000000,111 CHESTNUT RIDGE DR PITTSBURGH PA 15205,40.36362875,-80.01783063
0281H00210000000,100 HILANDS PL PITTSBURGH PA 15237,40.51692,-80.0022
0429H00156000000,972 PERRY HWY PITTSBURGH PA 15237,40.40204118,-79.83663995
0887R00085000000,6450 PLEASANT ST SOUTH PARK PA 15129,40.5149613,-80.16308584
0573D00123000000,6200 SPRRINGHOUSE PL BRIDGEVILLE PA 15017,40.52177675,-80.16397371
0573D00131000000,6050 SPRINGHOUSE PL BRIDGEVILLE PA 15017,40.51462585,-80.15771771
0482S00075000000,5110 EMPIRE DR BRIDGEVILLE PA 15017,40.32824,-80.13528
0374R00335000000,200 DOROTHY ST EAST PITTSBURGH PA 15112,40.40922,-79.83501
0374M00150000000,200 DOROTHY ST EAST PITTSBURGH PA 15112,40.4319886,-80.0388016
0374M00090000000,200 DOROTHY ST EAST PITTSBURGH PA 15112,40.39409845,-80.0369532
0374S00220000000,200 DOROTHY ST EAST PITTSBURGH PA 15112,40.40922,-79.83501
0161N00153000000,50 SUMNER AVE PITTSBURGH PA 15202,40.49249,-80.04724
0098P00050000000,460 WASHINGTON RD PITTSBURGH PA 15228,40.38556,-80.04431
0192P00079000000,111 MOUNT LEBANON BLVD PITTSBURGH PA 15228,40.44768836,-80.07186398
0297J00275000000,1061 FINDLEY DR PITTSBURGH PA 15221,40.408868,-79.906895
0633D00111000000,101 STATION ST PITTSBURGH PA 15235,40.4639977,-80.0002165
0389J00060000000,5414 KEEPORT DR PITTSBURGH PA 15236,40.33987,-79.98027
0497A00001000000,100 LINCOLN HIGHLANDS DR CORAOPOLIS PA 15108,40.4503,-80.19785
0698N00184000000,283 MOON CLINTON RD CORAOPOLIS PA 15108,40.51314,-80.23104
0218D00050000000,200 STEVENS DR PITTSBURGH PA 15237,40.50982,-80.00199
0191J00280000000,500 HOODRIDGE DR PITTSBURGH PA 15234,40.47064185,-80.0647042
0160R00046000000,56 S FREMONT AVE PITTSBURGH PA 15202,40.41040133,-79.91496783
0101L00150000000,1842 WASHINGTON ST CARNEGIE PA 15106,40.53657404,-80.18713066
0297N00050000000,1013 FINDLEY DR W PITTSBURGH PA 15221,40.53832498,-80.18776057
0688H00090000000,500 OLD MILL RD OAKDALE PA 15071,40.51887736,-79.84186746
0944D00398000000,109 ARTHUR DR WEXFORD PA 15090,40.47316962,-80.05344399
0518N00350000000,100 MCKNIGHT CIR PITTSBURGH PA 15237,40.4046433,-79.8255615
0216E00135000000,100 BELLWOOD DR PITTSBURGH PA 15229,40.409613,-79.823463
0297N00070000000,1013 FINDLEY DR W PITTSBURGH PA 15221,40.44657,-79.86381
0234P00175000000,101 SMOKEY WOOD DR PITTSBURGH PA 15218,40.41337837,-79.82186189
0154S00046000000,8 COOLIDGE DR MC KEES ROCKS PA 15136,40.33381657,-79.86645809
0130M00350000001,1000 ANDREW ST HOMESTEAD PA 15120,40.45823118,-80.00055736
0011J00002000000,1800 5TH AVE PITTSBURGH PA 15219,40.4468094,-79.9504504
0011K00036000000,2076 5TH AVE PITTSBURGH PA 15219,40.4468094,-79.9504504
0002D00057000000,1704 CENTRE AVE PITTSBURGH PA 15219,40.4419222,-79.983668
0002D00064000000,1602 CENTRE AVE PITTSBURGH PA 15219,40.44144033,-79.98479767
0002D00078000000,1602 WYLIE AVE PITTSBURGH PA 15219,40.44311141,-79.9856847
0011F00118000000,2015 5TH AVE PITTSBURGH PA 15219,40.4468094,-79.9504504
0010J00223000000,233 DEVILLIERS ST PITTSBURGH PA 15219,40.44620273,-79.98234087
0010N00107000000,1902 WEBSTER AVE PITTSBURGH PA 15219,40.44513321,-79.98293436
0009S00363000000,604 PROTECTORY PL PITTSBURGH PA 15219,40.443131,-79.986345
0009S00064000000,1816 BEDFORD AVE PITTSBURGH PA 15219,40.445283,-79.985076
0009S00065000000,744 ROBERTS ST PITTSBURGH PA 15219,40.44501177,-79.98517246
0011A00076000000,1820 CENTRE AVE PITTSBURGH PA 15219,40.442383,-79.982607
