"Column Name","Label"
"S2506_C01_022E","Owner-occupied housing units with a mortgage!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!$150,000 or more"
"S2506_C01_022M","Owner-occupied housing units with a mortgage!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!$150,000 or more"
"S2506_C01_023E","Owner-occupied housing units with a mortgage!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars)"
"S2506_C01_023M","Owner-occupied housing units with a mortgage!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars)"
"S2506_C01_024E","Owner-occupied housing units with a mortgage!!Estimate!!RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than 2.0"
"S2506_C01_024M","Owner-occupied housing units with a mortgage!!Margin of Error!!RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than 2.0"
"S2506_C01_025E","Owner-occupied housing units with a mortgage!!Estimate!!RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!2.0 to 2.9"
"S2506_C01_025M","Owner-occupied housing units with a mortgage!!Margin of Error!!RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!2.0 to 2.9"
"S2506_C01_026E","Owner-occupied housing units with a mortgage!!Estimate!!RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!3.0 to 3.9"
"S2506_C01_026M","Owner-occupied housing units with a mortgage!!Margin of Error!!RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!3.0 to 3.9"
"S2506_C01_027E","Owner-occupied housing units with a mortgage!!Estimate!!RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!4.0 or more"
"S2506_C01_027M","Owner-occupied housing units with a mortgage!!Margin of Error!!RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!4.0 or more"
"S2506_C01_028E","Owner-occupied housing units with a mortgage!!Estimate!!RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Not computed"
"S2506_C01_028M","Owner-occupied housing units with a mortgage!!Margin of Error!!RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Not computed"
"S2506_C01_029E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!Less than $200"
"S2506_C01_029M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS!!Less than $200"
"S2506_C01_030E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!$200 to $299"
"S2506_C01_030M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS!!$200 to $299"
"S2506_C01_031E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!$300 to $399"
"S2506_C01_031M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS!!$300 to $399"
"S2506_C01_032E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!$400 to $499"
"S2506_C01_032M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS!!$400 to $499"
"S2506_C01_033E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!$500 to $599"
"S2506_C01_033M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS!!$500 to $599"
"S2506_C01_034E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!$600 to $699"
"S2506_C01_034M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS!!$600 to $699"
"S2506_C01_035E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!$700 to $799"
"S2506_C01_035M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS!!$700 to $799"
"S2506_C01_036E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!$800 to $899"
"S2506_C01_036M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS!!$800 to $899"
"S2506_C01_037E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!$900 to $999"
"S2506_C01_037M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS!!$900 to $999"
"S2506_C01_038E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!$1,000 to $1,249"
"S2506_C01_038M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS!!$1,000 to $1,249"
"S2506_C01_039E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!$1,250 to $1,499"
"S2506_C01_039M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS!!$1,250 to $1,499"
"S2506_C01_040E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!$1,500 to $1,999"
"S2506_C01_040M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS!!$1,500 to $1,999"
"S2506_C01_041E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!$2,000 or more"
"S2506_C01_041M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS!!$2,000 or more"
"S2506_C01_042E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!Median (dollars)"
"S2506_C01_042M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS!!Median (dollars)"
"S2506_C01_043E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000"
"S2506_C01_043M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000"
"S2506_C01_044E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!Less than 20 percent"
"S2506_C01_044M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!Less than 20 percent"
"S2506_C01_045E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!20 to 29 percent"
