"Column Name","Label"
"DP04_0020E","Estimate!!YEAR STRUCTURE BUILT!!Built 1980 to 1989"
"DP04_0020M","Margin of Error!!YEAR STRUCTURE BUILT!!Built 1980 to 1989"
"DP04_0020PE","Percent!!YEAR STRUCTURE BUILT!!Built 1980 to 1989"
"DP04_0020PM","Percent Margin of Error!!YEAR STRUCTURE BUILT!!Built 1980 to 1989"
"DP04_0021E","Estimate!!YEAR STRUCTURE BUILT!!Built 1970 to 1979"
"DP04_0021M","Margin of Error!!YEAR STRUCTURE BUILT!!Built 1970 to 1979"
"DP04_0021PE","Percent!!YEAR STRUCTURE BUILT!!Built 1970 to 1979"
"DP04_0021PM","Percent Margin of Error!!YEAR STRUCTURE BUILT!!Built 1970 to 1979"
"DP04_0022E","Estimate!!YEAR STRUCTURE BUILT!!Built 1960 to 1969"
"DP04_0022M","Margin of Error!!YEAR STRUCTURE BUILT!!Built 1960 to 1969"
"DP04_0022PE","Percent!!YEAR STRUCTURE BUILT!!Built 1960 to 1969"
"DP04_0022PM","Percent Margin of Error!!YEAR STRUCTURE BUILT!!Built 1960 to 1969"
"DP04_0023E","Estimate!!YEAR STRUCTURE BUILT!!Built 1950 to 1959"
"DP04_0023M","Margin of Error!!YEAR STRUCTURE BUILT!!Built 1950 to 1959"
"DP04_0023PE","Percent!!YEAR STRUCTURE BUILT!!Built 1950 to 1959"
"DP04_0023PM","Percent Margin of Error!!YEAR STRUCTURE BUILT!!Built 1950 to 1959"
"DP04_0024E","Estimate!!YEAR STRUCTURE BUILT!!Built 1940 to 1949"
"DP04_0024M","Margin of Error!!YEAR STRUCTURE BUILT!!Built 1940 to 1949"
"DP04_0024PE","Percent!!YEAR STRUCTURE BUILT!!Built 1940 to 1949"
"DP04_0024PM","Percent Margin of Error!!YEAR STRUCTURE BUILT!!Built 1940 to 1949"
"DP04_0025E","Estimate!!YEAR STRUCTURE BUILT!!Built 1939 or earlier"
"DP04_0025M","Margin of Error!!YEAR STRUCTURE BUILT!!Built 1939 or earlier"
"DP04_0025PE","Percent!!YEAR STRUCTURE BUILT!!Built 1939 or earlier"
"DP04_0025PM","Percent Margin of Error!!YEAR STRUCTURE BUILT!!Built 1939 or earlier"
"DP04_0026E","Estimate!!ROOMS!!Total housing units"
"DP04_0026M","Margin of Error!!ROOMS!!Total housing units"
"DP04_0026PE","Percent!!ROOMS!!Total housing units"
"DP04_0026PM","Percent Margin of Error!!ROOMS!!Total housing units"
"DP04_0027E","Estimate!!ROOMS!!1 room"
"DP04_0027M","Margin of Error!!ROOMS!!1 room"
"DP04_0027PE","Percent!!ROOMS!!1 room"
"DP04_0027PM","Percent Margin of Error!!ROOMS!!1 room"
"DP04_0028E","Estimate!!ROOMS!!2 rooms"
"DP04_0028M","Margin of Error!!ROOMS!!2 rooms"
"DP04_0028PE","Percent!!ROOMS!!2 rooms"
"DP04_0028PM","Percent Margin of Error!!ROOMS!!2 rooms"
"DP04_0029E","Estimate!!ROOMS!!3 rooms"
"DP04_0029M","Margin of Error!!ROOMS!!3 rooms"
"DP04_0029PE","Percent!!ROOMS!!3 rooms"
"DP04_0029PM","Percent Margin of Error!!ROOMS!!3 rooms"
"DP04_0030E","Estimate!!ROOMS!!4 rooms"
"DP04_0030M","Margin of Error!!ROOMS!!4 rooms"
