"Label (Grouping)","Total"
"Census Tract 5524, Allegheny County, Pennsylvania",""
"    Estimate","1,623"
"Census Tract 5604, Allegheny County, Pennsylvania",""
"    Estimate","1,053"
"Census Tract 5605, Allegheny County, Pennsylvania",""
"    Estimate","1,343"
"Census Tract 5606, Allegheny County, Pennsylvania",""
"    Estimate","881"
"Census Tract 5610, Allegheny County, Pennsylvania",""
"    Estimate","951"
"Census Tract 5611, Allegheny County, Pennsylvania",""
"    Estimate","575"
"Census Tract 5612, Allegheny County, Pennsylvania",""
"    Estimate","932"
"Census Tract 5614, Allegheny County, Pennsylvania",""
"    Estimate","2,607"
"Census Tract 5615, Allegheny County, Pennsylvania",""
"    Estimate","1,892"
"Census Tract 5616, Allegheny County, Pennsylvania",""
"    Estimate","985"
"Census Tract 5617, Allegheny County, Pennsylvania",""
"    Estimate","503"
"Census Tract 5619, Allegheny County, Pennsylvania",""
"    Estimate","1,246"
"Census Tract 5620, Allegheny County, Pennsylvania",""
"    Estimate","2,049"
"Census Tract 5623, Allegheny County, Pennsylvania",""
"    Estimate","1,772"
"Census Tract 5624, Allegheny County, Pennsylvania",""
"    Estimate","1,559"
"Census Tract 5625, Allegheny County, Pennsylvania",""
"    Estimate","1,530"
"Census Tract 5626, Allegheny County, Pennsylvania",""
"    Estimate","1,441"
"Census Tract 5627, Allegheny County, Pennsylvania",""
"    Estimate","1,281"
"Census Tract 5628, Allegheny County, Pennsylvania",""
"    Estimate","841"
"Census Tract 5629, Allegheny County, Pennsylvania",""
"    Estimate","1,073"
"Census Tract 5630, Allegheny County, Pennsylvania",""
"    Estimate","1,385"
"Census Tract 5631, Allegheny County, Pennsylvania",""
"    Estimate","1,768"
"Census Tract 5632, Allegheny County, Pennsylvania",""
"    Estimate","1,936"
"Census Tract 5633, Allegheny County, Pennsylvania",""
"    Estimate","618"
"Census Tract 5638, Allegheny County, Pennsylvania",""
"    Estimate","1,765"
"Census Tract 5639, Allegheny County, Pennsylvania",""
"    Estimate","2,162"
"Census Tract 5640, Allegheny County, Pennsylvania",""
"    Estimate","2,319"
"Census Tract 5641, Allegheny County, Pennsylvania",""
"    Estimate","380"
"Census Tract 5642, Allegheny County, Pennsylvania",""
"    Estimate","1,067"
"Census Tract 5644, Allegheny County, Pennsylvania",""
"    Estimate","3,064"
"Census Tract 5645, Allegheny County, Pennsylvania",""
"    Estimate","1,365"
"Census Tract 9800, Allegheny County, Pennsylvania",""
"    Estimate","87"
"Census Tract 9801, Allegheny County, Pennsylvania",""
"    Estimate","0"
"Census Tract 9803, Allegheny County, Pennsylvania",""
"    Estimate","10"
"Census Tract 9804, Allegheny County, Pennsylvania",""
"    Estimate","13"
"Census Tract 9805, Allegheny County, Pennsylvania",""
"    Estimate","10"
"Census Tract 9806, Allegheny County, Pennsylvania",""
"    Estimate","0"
"Census Tract 9807, Allegheny County, Pennsylvania",""
"    Estimate","14"
"Census Tract 9808, Allegheny County, Pennsylvania",""
"    Estimate","0"
"Census Tract 9809, Allegheny County, Pennsylvania",""
"    Estimate","0"
"Census Tract 9810, Allegheny County, Pennsylvania",""
"    Estimate","10"
"Census Tract 9811, Allegheny County, Pennsylvania",""
"    Estimate","0"
"Census Tract 9812, Allegheny County, Pennsylvania",""
"    Estimate","0"
"Census Tract 9818, Allegheny County, Pennsylvania",""
"    Estimate","13"
"Census Tract 9822, Allegheny County, Pennsylvania",""
"    Estimate","103"
