"Label (Grouping)","Total"
"Census Tract 2503, Allegheny County, Pennsylvania",""
"    Estimate","702"
"Census Tract 2507, Allegheny County, Pennsylvania",""
"    Estimate","425"
"Census Tract 2509, Allegheny County, Pennsylvania",""
"    Estimate","822"
"Census Tract 2602, Allegheny County, Pennsylvania",""
"    Estimate","1,117"
"Census Tract 2607, Allegheny County, Pennsylvania",""
"    Estimate","904"
"Census Tract 2609, Allegheny County, Pennsylvania",""
"    Estimate","746"
"Census Tract 2612, Allegheny County, Pennsylvania",""
"    Estimate","522"
"Census Tract 2614, Allegheny County, Pennsylvania",""
"    Estimate","1,376"
"Census Tract 2615, Allegheny County, Pennsylvania",""
"    Estimate","945"
"Census Tract 2620, Allegheny County, Pennsylvania",""
"    Estimate","1,362"
"Census Tract 2701, Allegheny County, Pennsylvania",""
"    Estimate","1,268"
"Census Tract 2703, Allegheny County, Pennsylvania",""
"    Estimate","1,058"
"Census Tract 2704, Allegheny County, Pennsylvania",""
"    Estimate","525"
"Census Tract 2708, Allegheny County, Pennsylvania",""
"    Estimate","1,339"
"Census Tract 2715, Allegheny County, Pennsylvania",""
"    Estimate","1,793"
"Census Tract 2814, Allegheny County, Pennsylvania",""
"    Estimate","1,111"
"Census Tract 2815, Allegheny County, Pennsylvania",""
"    Estimate","724"
"Census Tract 2901, Allegheny County, Pennsylvania",""
"    Estimate","1,086"
"Census Tract 2902, Allegheny County, Pennsylvania",""
"    Estimate","1,978"
"Census Tract 2904, Allegheny County, Pennsylvania",""
"    Estimate","2,000"
"Census Tract 3001, Allegheny County, Pennsylvania",""
"    Estimate","1,884"
"Census Tract 3102, Allegheny County, Pennsylvania",""
"    Estimate","1,562"
"Census Tract 3103, Allegheny County, Pennsylvania",""
"    Estimate","376"
"Census Tract 3204, Allegheny County, Pennsylvania",""
"    Estimate","936"
"Census Tract 3206, Allegheny County, Pennsylvania",""
"    Estimate","1,083"
"Census Tract 3207, Allegheny County, Pennsylvania",""
"    Estimate","775"
"Census Tract 4011, Allegheny County, Pennsylvania",""
"    Estimate","2,097"
"Census Tract 4012, Allegheny County, Pennsylvania",""
"    Estimate","1,632"
"Census Tract 4013, Allegheny County, Pennsylvania",""
"    Estimate","1,184"
"Census Tract 4020, Allegheny County, Pennsylvania",""
"    Estimate","1,521"
"Census Tract 4035, Allegheny County, Pennsylvania",""
"    Estimate","2,242"
"Census Tract 4040, Allegheny County, Pennsylvania",""
"    Estimate","723"
"Census Tract 4050, Allegheny County, Pennsylvania",""
"    Estimate","520"
"Census Tract 4060, Allegheny County, Pennsylvania",""
"    Estimate","1,025"
"Census Tract 4070.01, Allegheny County, Pennsylvania",""
"    Estimate","2,353"
"Census Tract 4070.02, Allegheny County, Pennsylvania",""
"    Estimate","2,706"
"Census Tract 4080.01, Allegheny County, Pennsylvania",""
"    Estimate","1,920"
"Census Tract 4080.02, Allegheny County, Pennsylvania",""
"    Estimate","2,335"
"Census Tract 4090, Allegheny County, Pennsylvania",""
"    Estimate","3,945"
"Census Tract 4100, Allegheny County, Pennsylvania",""
"    Estimate","486"
"Census Tract 4110, Allegheny County, Pennsylvania",""
"    Estimate","2,398"
"Census Tract 4120.01, Allegheny County, Pennsylvania",""
"    Estimate","3,077"
"Census Tract 4120.02, Allegheny County, Pennsylvania",""
"    Estimate","1,827"
"Census Tract 4131, Allegheny County, Pennsylvania",""
"    Estimate","2,822"
"Census Tract 4132.01, Allegheny County, Pennsylvania",""
"    Estimate","1,640"
"Census Tract 4132.02, Allegheny County, Pennsylvania",""
"    Estimate","1,218"
"Census Tract 4133, Allegheny County, Pennsylvania",""
"    Estimate","1,927"
