tract,unemployed,income_household_mean
42003010300,10.1,49258
42003020100,8.0,91071
42003020300,1.9,152763
42003030500,26.0,19575
42003040200,18.4,29110
42003040400,1.2,52483
42003040500,9.4,24915
42003040600,3.4,27712
42003040900,12.6,40294
42003050100,10.0,31864
42003050600,16.4,46979
42003050900,32.2,12984
42003051000,11.9,20928
42003051100,25.5,14792
42003060300,7.3,36247
42003060500,5.8,46458
42003070300,2.8,120094
42003070500,2.9,68495
42003070600,5.9,69521
42003070800,6.8,96134
42003070900,8.8,79687
42003080200,5.9,50375
42003080400,5.9,40172
42003080600,2.2,58197
42003080700,9.5,37886
42003080900,8.9,49553
42003090100,13.0,50693
42003090200,1.6,51080
42003090300,5.7,35294
42003100500,12.0,47237
42003101100,10.5,41096
42003101400,5.2,55225
42003101600,29.7,31587
42003101700,3.9,41464
42003101800,6.7,65866
42003110200,4.9,65561
42003110600,7.3,84823
42003111300,11.9,38737
42003111400,32.9,23340
42003111500,10.8,35839
42003120300,12.0,42792
42003120400,26.6,27668
42003120700,24.1,29505
42003120800,24.7,35997
42003130100,25.3,25057
42003130200,13.9,35440
42003130300,21.9,25618
42003130400,16.8,30898
42003130600,26.2,31200
42003140100,8.6,193415
42003140200,7.2,134613
42003140300,4.1,144820
42003140400,1.3,154507
42003140500,8.6,54656
42003140600,4.3,95810
42003140800,4.8,97285
42003141000,4.5,115824
42003141100,10.3,64352
42003141300,2.3,74436
42003141400,4.2,92243
42003151600,8.1,61578
42003151700,5.1,64614
42003160800,2.8,46934
42003160900,7.0,69539
42003170200,2.5,62612
42003170600,3.3,88211
42003180300,16.7,38848
42003180700,5.8,59129
42003190300,11.7,82257
42003191100,5.0,79775
42003191400,10.5,65532
42003191500,7.4,36894
42003191600,9.6,52756
42003191700,5.4,55808
42003191800,8.5,58602
42003191900,9.7,52362
42003192000,10.4,47584
42003202200,9.0,45631
42003202300,4.0,70657
42003210700,16.1,48577
42003220600,14.9,89237
42003240600,6.1,59755
42003241200,13.2,48698
42003250300,16.6,73224
42003250700,12.2,29071
42003250900,26.4,31443
42003260200,8.4,51148
42003260700,12.7,66374
42003260900,43.1,20309
42003261200,9.2,64750
42003261400,13.9,29889
42003261500,12.8,40241
42003262000,11.5,33977
42003270100,8.6,64506
42003270300,7.8,42268
42003270400,3.1,45238
42003270800,8.9,65634
42003271500,12.0,37507
42003281400,12.2,41177
42003281500,8.3,55229
42003290100,9.5,46905
42003290200,15.1,41496
42003290400,10.2,56396
42003300100,10.3,39693
42003310200,4.9,55449
42003310300,6.0,86134
42003320400,9.0,56648
42003320600,8.0,63229
42003320700,6.9,57804
42003401100,6.2,54428
42003401200,19.3,39767
42003401300,7.0,62956
42003402000,5.1,51514
42003403500,9.9,48445
42003404000,6.3,52753
42003405000,7.4,63786
42003406000,8.7,72038
42003407001,7.0,66552
42003407002,7.2,77561
42003408001,4.8,112653
42003408002,3.5,100172
42003409000,3.5,189653
42003410000,2.2,140184
42003411000,4.6,180651
42003412001,4.5,146805
42003412002,4.3,160508
42003413100,5.7,121893
42003413201,3.2,92954
42003413202,5.7,111481
42003413300,2.2,94481
42003413400,3.2,105398
42003413500,3.8,78624
42003414101,4.3,106565
42003414102,4.0,104959
42003414200,7.5,105110
42003415001,6.7,111442
42003415002,8.7,121316
42003416000,9.2,53467
42003417100,4.7,62619
42003417200,11.4,47675
42003418000,2.4,66775
42003419000,6.4,62786
42003420000,5.1,46544
42003421100,3.8,115786
42003421200,3.1,130929
42003422000,4.8,280063
42003423000,4.2,79870
42003424000,8.4,36231
42003425000,6.3,48815
42003426300,6.4,74883
42003426400,2.8,64069
42003426700,7.0,58864
42003426800,7.3,87375
42003427000,12.8,43918
42003427100,4.9,87312
42003427200,6.7,57293
42003428100,8.5,61642
42003428200,5.7,66199
42003429100,1.9,78874
42003429201,3.8,90049
42003429202,4.0,85468
42003429300,5.1,75425
42003429400,6.2,80996
42003429500,4.2,53528
42003429600,7.1,66572
42003429700,8.9,62236
42003430100,6.0,55538
42003430200,6.8,67180
42003431100,6.0,51444
42003431400,3.1,55769
42003431500,14.3,49301
42003432300,8.7,42703
42003432400,4.9,40869
42003434000,2.9,117784
42003435000,5.7,59459
42003437000,6.0,131246
42003439000,5.4,140997
42003445500,5.6,97456
42003446000,4.1,210697
42003447000,3.0,94408
42003448000,7.9,53176
42003449000,7.9,74050
42003450700,5.9,56284
42003450800,11.4,40882
42003451101,7.0,99581
42003451102,7.7,71367
42003451104,3.3,87052
42003451105,5.0,62854
42003451300,5.9,113216
42003452000,9.4,91720
42003453003,4.7,93686
42003453004,6.4,83193
42003455000,6.1,65416
42003456001,7.8,83516
42003456003,4.5,124281
42003456004,5.5,71145
42003457100,2.0,46364
42003457200,12.0,61728
42003458000,4.4,96297
42003459101,4.8,72233
42003459102,6.4,93096
42003459201,4.8,90912
42003459202,5.0,55417
42003460001,5.8,64941
42003460002,8.2,106315
42003461000,13.4,44091
42003462100,13.2,42265
42003462600,17.5,43299
42003463900,10.5,42442
42003464300,5.2,66894
42003464400,18.1,40919
42003465600,3.3,66100
42003465800,3.9,69278
42003468700,6.3,60297
42003468800,9.9,54752
42003468900,9.6,67703
42003469000,3.4,99522
42003470300,5.2,70489
42003470400,7.2,68127
42003470501,10.7,83572
42003470502,2.7,75925
42003470600,13.8,48270
42003471000,2.1,51812
42003472100,5.2,55576
42003472200,3.2,66927
42003472300,6.5,48381
42003472400,6.0,69471
42003473100,2.4,88381
42003473200,3.9,68728
42003473300,5.3,82177
42003473401,5.6,118086
42003473402,6.5,129215
42003473500,3.6,149272
42003473601,4.2,131241
42003473602,4.3,127250
42003474101,4.5,139378
42003474102,3.6,163120
42003474201,8.1,150970
42003474202,8.4,128661
42003474203,6.9,141245
42003475101,6.9,66165
42003475102,4.9,90650
42003475200,7.1,81853
42003475301,12.7,60680
42003475303,8.8,95336
42003475304,5.2,90726
42003475401,2.2,85212
42003475402,2.0,95223
42003476100,5.6,54086
42003476200,3.6,66658
42003477100,3.7,72421
42003477200,3.8,70010
42003477300,4.2,56509
42003478100,8.1,50709
42003478200,5.4,59539
42003479000,7.1,76255
42003480101,13.6,51807
42003480102,4.4,60114
42003480200,6.2,66953
42003480300,7.5,72991
42003480400,8.6,58492
42003481000,12.6,37285
42003482500,15.9,55348
42003483800,8.5,42696
42003484300,6.7,45377
42003484500,5.9,57645
42003484600,7.7,54462
42003485000,8.6,46226
42003486700,23.0,26382
42003486800,21.3,35776
42003486900,19.7,33139
42003487000,9.3,48481
42003488100,9.7,49602
42003488200,8.5,52210
42003488300,7.3,57423
42003488400,9.0,51183
42003488500,6.0,59875
42003488600,10.7,57557
42003489001,5.1,64664
42003489002,3.8,86790
42003490002,3.6,62836
42003490003,8.3,80265
42003490004,6.7,81783
42003491101,3.0,107884
42003491200,6.9,66223
42003492700,10.9,39785
42003492800,24.2,36184
42003492900,11.7,41282
42003494000,10.8,46197
42003495000,8.5,58026
42003496101,4.0,74284
42003496102,10.0,70399
42003496200,9.3,62379
42003497000,6.9,55064
42003498000,7.7,59735
42003499300,5.5,54055
42003499400,16.6,37222
42003500300,8.4,52580
42003501000,12.6,44086
42003503002,6.9,61524
42003504100,5.9,45218
42003507000,6.1,44978
42003508000,13.0,29945
42003509400,11.1,42787
42003510000,8.9,36839
42003512000,9.3,42762
42003512800,21.7,32449
42003512900,32.8,31874
42003513800,15.2,29713
42003514000,18.8,31135
42003515100,11.9,40505
42003515200,12.2,50453
42003515300,5.8,49169
42003515401,1.5,65489
42003516100,7.3,90864
42003516200,1.2,86499
42003517000,9.1,41101
42003518001,4.3,82608
42003519000,6.4,89787
42003520001,6.0,64457
42003520002,4.4,52268
42003521100,7.0,79063
42003521200,1.8,58188
42003521301,10.4,62585
42003521302,5.5,63559
42003521401,6.2,67125
42003521402,3.8,93661
42003521500,5.6,81019
42003522000,12.4,41630
42003523100,14.1,60139
42003523200,8.2,56162
42003523300,14.4,58342
42003523400,10.9,51636
42003523501,8.6,54427
42003523502,3.0,52616
42003523600,8.6,56956
42003523701,4.9,62978
42003523702,5.0,57358
42003523800,4.7,60092
42003524000,6.2,41952
42003525100,2.4,98456
42003525200,8.4,44504
42003525300,3.7,98047
42003526101,4.7,83211
42003526102,12.0,63379
42003526201,4.5,79265
42003526202,6.3,68631
42003526301,7.4,82527
42003526302,7.1,68959
42003550900,11.6,36478
42003551200,15.7,31255
42003551300,14.0,52202
42003551900,15.7,19104
42003552000,17.4,37825
42003552100,18.3,15117
42003552200,14.9,35810
42003552300,18.3,33902
42003552400,9.1,42394
42003560400,4.9,31963
42003560500,0.6,61624
42003560600,44.9,28795
42003561000,12.7,37856
42003561100,18.4,23940
42003561200,13.6,36025
42003561400,8.6,45582
42003561500,13.3,47855
42003561600,12.0,32592
42003561700,9.2,40891
42003561900,23.3,39463
42003562000,5.4,59701
42003562300,13.1,39194
42003562400,13.6,46561
42003562500,28.5,35323
42003562600,16.7,38592
42003562700,7.8,54120
42003562800,7.5,49163
42003562900,8.2,39760
42003563000,7.1,49238
42003563100,6.4,56506
42003563200,10.9,46269
42003563300,5.1,232411
42003563800,4.6,95169
42003563900,10.5,61634
42003564000,5.7,89182
42003564100,1.9,155540
42003564200,6.6,56929
42003564400,5.0,57345
42003564500,8.3,71032
42003980000,0.0,95520
42003980300,0.0,N
42003980400,0.0,N
42003980700,0.0,N
42003981000,0.0,N
42003981800,55.5,48508
42003982200,21.8,24165
