tract,race_white_mono,race_black_mono,race_asian_mono,ethnicity_latino
42003426700,95.2,1.1,1.0,1.7
42003426800,98.7,0.5,0.5,0.0
42003427000,93.9,2.4,0.0,1.0
42003427100,99.0,0.7,0.0,0.5
42003427200,96.2,2.2,0.6,2.8
42003428100,99.9,0.0,0.0,0.0
42003428200,91.5,6.5,0.0,0.0
42003429100,92.1,4.8,0.4,1.5
42003429201,91.8,1.2,5.2,1.3
42003429202,93.4,3.1,1.2,2.2
42003429300,99.5,0.0,0.2,0.9
42003429400,94.5,3.0,1.8,0.3
42003429500,93.6,1.8,3.9,1.2
42003429600,89.7,5.1,2.8,0.3
42003429700,96.5,2.5,0.0,0.0
42003430100,96.8,1.4,0.8,0.0
42003430200,97.7,2.0,0.1,0.5
42003431100,87.8,7.4,0.0,4.4
42003431400,88.9,5.3,0.0,0.0
42003431500,91.8,3.1,1.1,1.5
42003432300,84.6,11.9,0.0,0.0
42003432400,87.0,6.4,3.1,0.0
42003434000,95.8,1.7,0.4,0.0
42003435000,89.9,3.5,4.3,0.9
42003437000,93.9,2.1,1.5,0.9
42003439000,93.2,4.8,0.6,1.9
42003445500,86.6,8.0,3.3,3.4
42003446000,97.1,0.5,0.2,3.2
42003447000,91.6,1.7,3.9,0.7
42003448000,91.0,4.3,0.5,1.3
42003449000,91.8,3.7,2.0,0.6
42003450700,88.1,5.5,0.6,3.2
42003450800,62.8,25.5,0.0,3.2
42003451101,98.4,1.2,0.1,1.0
42003451102,82.9,8.7,3.4,1.8
42003451104,95.7,3.0,1.1,3.0
42003451105,89.2,5.6,2.9,1.2
42003451300,93.9,1.1,3.8,1.9
42003452000,95.6,0.9,0.6,0.2
42003453003,96.0,0.7,2.2,1.7
42003453004,93.9,0.7,2.4,3.3
42003455000,99.8,0.0,0.0,0.1
42003456001,94.8,0.7,3.6,0.6
42003456003,92.6,1.9,4.0,0.3
42003456004,86.1,2.1,10.3,0.9
42003457100,89.1,6.6,0.0,0.8
42003457200,97.2,0.4,1.1,0.3
42003458000,94.0,1.1,3.4,1.8
42003459101,98.2,1.1,0.0,0.2
42003459102,90.0,6.3,1.7,1.5
42003459201,82.9,1.9,10.7,2.5
42003459202,97.3,1.8,0.0,2.1
42003460001,92.8,5.1,0.9,0.6
42003460002,98.7,0.7,0.0,0.1
42003461000,97.2,1.2,0.5,1.0
42003462100,72.7,18.1,1.1,0.4
42003462600,69.1,27.7,0.3,1.3
42003463900,81.4,14.5,0.0,0.0
42003464300,93.3,4.9,1.7,0.1
42003464400,55.4,37.2,0.0,0.9
42003465600,89.9,8.3,0.0,2.7
42003465800,95.7,1.8,0.0,0.0
42003468700,91.9,4.2,0.0,0.5
42003468800,85.3,6.7,0.5,2.2
42003468900,87.1,10.3,1.0,0.8
42003469000,93.2,1.7,5.1,0.0
42003470300,96.5,0.7,2.6,0.9
42003470400,97.8,1.1,0.0,2.1
42003470501,50.7,5.7,39.1,0.0
42003470502,92.4,1.8,1.8,0.6
42003470600,96.4,2.0,0.3,0.5
42003471000,98.9,0.3,0.0,3.1
42003472100,91.9,3.1,2.8,7.4
42003472200,98.3,0.1,0.0,4.1
42003472300,95.1,0.2,0.2,2.3
42003472400,95.7,0.5,2.5,1.4
42003473100,98.1,0.1,1.1,2.5
42003473200,89.9,0.1,8.6,3.5
42003473300,94.9,2.8,0.0,0.0
42003473401,90.0,0.5,6.4,0.7
42003473402,94.9,0.7,2.3,0.5
42003473500,92.7,0.8,3.2,2.0
42003473601,91.8,2.0,5.0,1.4
