tract,housing_units_total
42003010300,397
42003020100,"2,076"
42003020300,430
42003030500,"1,453"
42003040200,781
42003040400,"1,471"
42003040500,"1,309"
42003040600,"1,132"
42003040900,"1,466"
42003050100,"1,270"
42003050600,"1,150"
42003050900,798
42003051000,678
42003051100,703
42003060300,"1,322"
42003060500,881
42003070300,"1,303"
42003070500,"1,963"
42003070600,"1,381"
42003070800,"1,045"
42003070900,"3,020"
42003080200,"1,011"
42003080400,797
42003080600,"1,280"
42003080700,"1,204"
42003080900,"1,088"
42003090100,"1,073"
42003090200,"1,542"
42003090300,"1,030"
42003100500,989
42003101100,"1,470"
42003101400,"1,709"
42003101600,394
42003101700,814
42003101800,"1,273"
42003110200,"2,260"
42003110600,"1,115"
42003111300,"1,568"
42003111400,824
42003111500,"2,063"
42003120300,971
42003120400,546
42003120700,628
42003120800,443
42003130100,"1,204"
42003130200,703
42003130300,829
42003130400,678
42003130600,"1,523"
42003140100,"1,098"
42003140200,"1,147"
42003140300,"1,560"
42003140400,"1,008"
42003140500,"1,152"
42003140600,"1,496"
42003140800,"2,147"
42003141000,491
42003141100,637
42003141300,"2,527"
42003141400,"2,783"
42003151600,"1,289"
42003151700,"2,641"
42003160800,"1,470"
42003160900,"1,893"
42003170200,"2,387"
42003170600,"1,137"
42003180300,"1,358"
42003180700,"1,063"
42003190300,"1,202"
42003191100,"1,323"
42003191400,"1,689"
42003191500,"1,188"
42003191600,"2,094"
42003191700,"1,655"
42003191800,"2,616"
42003191900,"1,070"
42003192000,"1,867"
42003202200,"1,268"
42003202300,"2,120"
42003210700,"1,290"
42003220600,"1,275"
42003240600,"1,572"
42003241200,609
42003250300,702
42003250700,425
42003250900,822
42003260200,"1,117"
42003260700,904
42003260900,746
42003261200,522
42003261400,"1,376"
42003261500,945
42003262000,"1,362"
42003270100,"1,268"
42003270300,"1,058"
42003270400,525
42003270800,"1,339"
42003271500,"1,793"
42003281400,"1,111"
42003281500,724
42003290100,"1,086"
42003290200,"1,978"
42003290400,"2,000"
42003300100,"1,884"
42003310200,"1,562"
42003310300,376
42003320400,936
42003320600,"1,083"
42003320700,775
42003401100,"2,097"
42003401200,"1,632"
42003401300,"1,184"
42003402000,"1,521"
42003403500,"2,242"
42003404000,723
42003405000,520
42003406000,"1,025"
42003407001,"2,353"
