tract,mortgaged_value_median,mortgaged_no2nd_noheq,real_estate_taxes_median
42003468800,99100,90.3,2526
42003468900,119000,91.3,3293
42003469000,151100,78.7,3382
42003470300,156600,82.3,3066
42003470400,138000,80.8,2773
42003470501,97300,83.2,2048
42003470502,166400,82.1,3279
42003470600,91200,84.2,2179
42003471000,101600,84.5,2304
42003472100,108900,88.2,2684
42003472200,120900,64.2,3278
42003472300,89500,76.8,2283
42003472400,124100,80.6,3119
42003473100,203500,73.8,4765
42003473200,152800,68.9,3405
42003473300,175800,71.8,4273
42003473401,283700,63.1,6298
42003473402,227100,68.2,5594
42003473500,299100,67.8,6829
42003473601,262500,62.2,6282
42003473602,196800,79.3,4987
42003474101,217700,57.5,5038
42003474102,298100,63.6,6922
42003474201,273500,61.1,6509
42003474202,267700,61.9,5488
42003474203,229200,65.5,5181
42003475101,134500,73.9,3336
42003475102,146200,73.2,2881
42003475200,159200,69.1,3731
42003475301,138400,65.8,2810
42003475303,161900,73.8,3649
42003475304,173900,67.3,4270
42003475401,160100,75.3,3560
42003475402,189300,68.6,4172
42003476100,103400,85.5,2472
42003476200,109600,75.7,2475
42003477100,135200,77.9,3280
42003477200,151800,69.7,3418
42003477300,129700,80.6,3415
42003478100,96800,68.6,3081
42003478200,93600,75.9,2741
42003479000,112300,67.6,2730
42003480101,114700,83.8,2908
42003480102,122000,73.2,2655
42003480200,124900,78.0,3117
42003480300,110300,80.6,2778
42003480400,103700,64.3,2766
42003481000,51400,86.3,984
42003482500,109300,86.3,2505
42003483800,43100,96.8,1061
42003484300,55800,77.2,1187
42003484500,82400,74.8,2457
42003484600,86200,79.6,2145
42003485000,65700,80.6,1671
42003486700,39300,79.5,1575
42003486800,55000,73.2,1328
42003486900,53200,73.3,642
42003487000,67700,76.5,1345
42003488100,93100,77.0,2286
42003488200,79800,83.8,2057
42003488300,112000,79.9,2358
42003488400,81900,74.8,1968
42003488500,89800,81.8,2567
42003488600,106900,84.8,2399
42003489001,144700,66.8,3209
42003489002,152900,63.0,3425
42003490002,130100,62.8,3366
42003490003,151000,77.2,3949
42003490004,156400,70.4,3568
42003491101,241300,70.7,5206
42003491200,118800,76.9,2378
42003492700,53800,96.7,1038
42003492800,59200,84.0,684
42003492900,54700,89.5,857
42003494000,79100,72.0,1813
42003495000,96700,70.4,2417
42003496101,137200,78.5,3239
42003496102,114400,76.1,2728
42003496200,105800,73.8,2637
42003497000,90000,74.0,1816
42003498000,78900,71.9,1625
42003499300,74400,88.8,1590
42003499400,65900,86.5,1153
42003500300,68300,91.4,1308
42003501000,59600,83.9,891
42003503002,97800,75.9,2028
42003504100,86000,83.9,2373
42003507000,71200,73.5,1860
42003508000,46700,90.1,1247
42003509400,60300,74.6,1347
42003510000,42500,80.0,1339
42003512000,50000,69.4,1135
42003512800,45200,83.1,756
42003512900,70800,76.5,1288
42003513800,49000,91.3,1180
42003514000,51100,85.9,758
42003515100,63600,94.3,1961
42003515200,77500,84.9,1809
42003515300,63600,77.7,1563
42003515401,114700,74.0,2270
42003516100,179300,68.4,4305
42003516200,153400,78.4,3647
42003517000,83100,84.5,2124
42003518001,144200,76.4,3680
42003519000,162600,68.3,4538
42003520001,128400,89.7,2833
42003520002,91400,85.1,2254
42003521100,113200,77.8,2363
42003521200,112700,78.1,2203
42003521301,175500,70.9,2676
42003521302,117400,82.8,2168
42003521401,118200,86.3,2308
42003521402,184200,66.9,3469
42003521500,143200,60.7,2679
42003522000,72500,80.4,1426
42003523100,78800,68.0,1670
42003523200,77400,76.6,2038
42003523300,90500,84.9,2319
42003523400,80500,82.1,2041
42003523501,92000,82.4,2070
42003523502,82000,79.6,2138
42003523600,101300,77.1,2142
42003523701,106100,81.2,2521
42003523702,85600,79.4,2373
42003523800,96300,78.8,2285
42003524000,76300,49.7,1990
42003525100,164300,66.6,3510
42003525200,156100,87.5,2783
42003525300,164000,80.8,3393
42003526101,179100,65.7,4287
42003526102,148500,61.0,2764
42003526201,158700,72.4,3067
42003526202,152500,77.4,3266
42003526301,134900,71.1,2835
42003526302,141100,73.1,3123
42003550900,37500,86.3,902
42003551200,62500,86.9,903
42003551300,96300,73.2,1712
42003551900,83500,100.0,1363
42003552000,37700,87.6,713
42003552100,48300,45.5,583
42003552200,42500,93.8,667
42003552300,34200,83.8,681
42003552400,53400,81.6,796
42003560400,73700,65.8,2074
42003560500,153100,75.8,3619
42003560600,43000,45.5,880
42003561000,61300,95.0,1443
42003561100,67800,82.0,1690
42003561200,30700,100.0,689
42003561400,92000,84.6,3173
42003561500,73400,76.9,2347
42003561600,45900,85.9,813
42003561700,69300,97.2,1457
42003561900,52400,78.3,1049
42003562000,225000,85.7,4139
42003562300,65400,86.3,967
42003562400,69400,85.2,1120
42003562500,55600,92.3,1096
42003562600,55000,86.6,1047
42003562700,131500,84.3,2196
42003562800,93400,89.9,1836
42003562900,76300,74.8,1000
42003563000,74300,76.5,1321
42003563100,100200,80.5,2426
42003563200,108700,80.9,1224
42003563300,455600,66.8,6994
42003563800,202000,73.1,4167
42003563900,90300,79.4,2460
42003564000,207600,74.3,3829
42003564100,307300,69.4,6541
42003564200,97200,70.5,2117
42003564400,79500,79.1,2350
42003564500,141800,72.5,2645
42003980000,261900,100.0,5595
