_id,route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,avg_riders,day_count
1,1,001,1 - FREEPORT ROAD,Ross,Bus,2017-01-01,201701,SAT.,969.5,4
2,4,004,4 - TROY HILL,Ross,Bus,2017-01-01,201701,SAT.,218.25,4
3,6,006,6 - SPRING HILL,Ross,Bus,2017-01-01,201701,SAT.,495.5,4
4,8,008,8 - PERRYSVILLE,Ross,Bus,2017-01-01,201701,SAT.,1480,4
5,11,011,11 - FINEVIEW,Ross,Bus,2017-01-01,201701,SAT.,208,4
6,12,012,12 - MCKNIGHT,Ross,Bus,2017-01-01,201701,SAT.,1069.75,4
7,13,013,13 - BELLEVUE,Ross,Bus,2017-01-01,201701,SAT.,1252.75,4
8,14,014,14 - OHIO VALLEY,Ross,Bus,2017-01-01,201701,SAT.,478.25,4
9,15,015,15 - CHARLES,Ross,Bus,2017-01-01,201701,SAT.,672,4
10,16,016,16 - BRIGHTON,Ross,Bus,2017-01-01,201701,SAT.,2070,4
11,17,017,17 - SHADELAND,Ross,Bus,2017-01-01,201701,SAT.,499.25,4
12,21,021,21 - CORAOPOLIS,Collier,Bus,2017-01-01,201701,SAT.,480.5,4
13,22,022,22 - MCCOY,Collier,Bus,2017-01-01,201701,SAT.,424.5,4
14,24,024,24 - WEST PARK,Collier,Bus,2017-01-01,201701,SAT.,1128.5,4
15,26,026,26 - CHARTIERS,Collier,Bus,2017-01-01,201701,SAT.,504,4
16,27,027,27 - FAIRYWOOD,Collier,Bus,2017-01-01,201701,SAT.,634,4
17,28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-01-01,201701,SAT.,1339.75,4
18,31,031,31 - BRIDGEVILLE,Collier,Bus,2017-01-01,201701,SAT.,768.25,4
19,38,038,38 - GREEN TREE,Collier,Bus,2017-01-01,201701,SAT.,333,4
20,39,039,39 - BROOKLINE,Collier,Bus,2017-01-01,201701,SAT.,181.75,4
21,40,040,40 - MOUNT WASHINGTON,Ross,Bus,2017-01-01,201701,SAT.,216.25,4
22,41,041,41 - BOWER HILL,Collier,Bus,2017-01-01,201701,SAT.,464.25,4
23,43,043,43 - BAILEY,Collier,Bus,2017-01-01,201701,SAT.,279.25,4
24,44,044,44 - VIA KNOXVILLE,Collier,Bus,2017-01-01,201701,SAT.,285,4
25,48,048,48 - ARLINGTON,Collier,Bus,2017-01-01,201701,SAT.,1867,4
26,51,051,51 - CARRICK,West Mifflin,Bus,2017-01-01,201701,SAT.,4541.5,4
27,53,053,53 - HOMESTEAD PARK,West Mifflin,Bus,2017-01-01,201701,SAT.,298.75,4
28,54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-01-01,201701,SAT.,2311,4
29,55,055,55 - GLASSPORT,West Mifflin,Bus,2017-01-01,201701,SAT.,610.5,4
30,56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2017-01-01,201701,SAT.,604.75,4
31,57,057,57 - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,SAT.,858.5,4
32,58,058,58 - GREENFIELD,East Liberty,Bus,2017-01-01,201701,SAT.,244.5,4
33,59,059,59 - MON VALLEY,West Mifflin,Bus,2017-01-01,201701,SAT.,1640.75,4
34,61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-01-01,201701,SAT.,2823.25,4
35,61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-01-01,201701,SAT.,2270.75,4
36,61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-01-01,201701,SAT.,3763.75,4
37,61D,061D,61D - MURRAY,West Mifflin,Bus,2017-01-01,201701,SAT.,3212.75,4
38,64,064,64 - LAWRENCEVILLE - WATERFRONT,West Mifflin,Bus,2017-01-01,201701,SAT.,1386,4
39,67,067,67 - MONROEVILLE,East Liberty,Bus,2017-01-01,201701,SAT.,737.5,4
40,68,068,,,Bus,2017-01-01,201701,SAT.,347,4
41,69,069,69 - TRAFFORD,East Liberty,Bus,2017-01-01,201701,SAT.,284,4
42,71A,071A,71A - NEGLEY,East Liberty,Bus,2017-01-01,201701,SAT.,2569.5,4
43,71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-01-01,201701,SAT.,1770,4
44,71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-01-01,201701,SAT.,3147.5,4
45,71D,071D,71D - HAMILTON,East Liberty,Bus,2017-01-01,201701,SAT.,1883.25,4
46,74,074,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,2017-01-01,201701,SAT.,392,4
47,75,075,75 - ELLSWORTH,East Liberty,Bus,2017-01-01,201701,SAT.,1783.5,4
48,77,077,77 - PENN HILLS,East Liberty,Bus,2017-01-01,201701,SAT.,880,4
49,79,079,79 - EAST HILLS,East Liberty,Bus,2017-01-01,201701,SAT.,580.5,4
50,81,081,81 - OAK HILL,West Mifflin,Bus,2017-01-01,201701,SAT.,704.5,4
51,82,082,82 - LINCOLN,East Liberty,Bus,2017-01-01,201701,SAT.,2339.25,4
52,83,083,83 - BEDFORD HILL,West Mifflin,Bus,2017-01-01,201701,SAT.,1231.5,4
53,86,086,86 - LIBERTY,East Liberty,Bus,2017-01-01,201701,SAT.,2060.5,4
54,87,087,87 - FRIENDSHIP,East Liberty,Bus,2017-01-01,201701,SAT.,573.25,4
55,88,088,88 - PENN,East Liberty,Bus,2017-01-01,201701,SAT.,1289.25,4
56,89,089,89 - GARFIELD COMMONS,East Liberty,Bus,2017-01-01,201701,SAT.,232,4
57,91,091,91 - BUTLER STREET,Ross,Bus,2017-01-01,201701,SAT.,1535.75,4
58,G2,G2,G2 - WEST BUSWAY,Collier,Bus,2017-01-01,201701,SAT.,932.25,4
59,P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2017-01-01,201701,SAT.,4407,4
60,Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2017-01-01,201701,SAT.,758.25,4
61,Y47,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,2017-01-01,201701,SAT.,385,4
62,Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2017-01-01,201701,SAT.,571.5,4
63,1,001,1 - FREEPORT ROAD,Ross,Bus,2017-01-01,201701,SUN.,737.4,5
64,6,006,6 - SPRING HILL,Ross,Bus,2017-01-01,201701,SUN.,378.2,5
65,8,008,8 - PERRYSVILLE,Ross,Bus,2017-01-01,201701,SUN.,909,5
66,11,011,11 - FINEVIEW,Ross,Bus,2017-01-01,201701,SUN.,111,5
67,12,012,12 - MCKNIGHT,Ross,Bus,2017-01-01,201701,SUN.,670.4,5
68,13,013,13 - BELLEVUE,Ross,Bus,2017-01-01,201701,SUN.,676,5
69,14,014,14 - OHIO VALLEY,Ross,Bus,2017-01-01,201701,SUN.,337.2,5
70,15,015,15 - CHARLES,Ross,Bus,2017-01-01,201701,SUN.,388,5
71,16,016,16 - BRIGHTON,Ross,Bus,2017-01-01,201701,SUN.,1115.2,5
72,17,017,17 - SHADELAND,Ross,Bus,2017-01-01,201701,SUN.,357,5
73,21,021,21 - CORAOPOLIS,Collier,Bus,2017-01-01,201701,SUN.,253.4,5
74,24,024,24 - WEST PARK,Collier,Bus,2017-01-01,201701,SUN.,838.2,5
75,26,026,26 - CHARTIERS,Collier,Bus,2017-01-01,201701,SUN.,313.8,5
76,27,027,27 - FAIRYWOOD,Collier,Bus,2017-01-01,201701,SUN.,417.8,5
77,28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-01-01,201701,SUN.,1173.8,5
78,31,031,31 - BRIDGEVILLE,Collier,Bus,2017-01-01,201701,SUN.,547.4,5
79,38,038,38 - GREEN TREE,Collier,Bus,2017-01-01,201701,SUN.,160,5
80,40,040,40 - MOUNT WASHINGTON,Ross,Bus,2017-01-01,201701,SUN.,149,5
81,41,041,41 - BOWER HILL,Collier,Bus,2017-01-01,201701,SUN.,278.8,5
82,43,043,43 - BAILEY,Collier,Bus,2017-01-01,201701,SUN.,228,5
83,44,044,44 - VIA KNOXVILLE,Collier,Bus,2017-01-01,201701,SUN.,209,5
84,48,048,48 - ARLINGTON,Collier,Bus,2017-01-01,201701,SUN.,877,5
85,51,051,51 - CARRICK,West Mifflin,Bus,2017-01-01,201701,SUN.,2743,5
86,54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-01-01,201701,SUN.,1190.2,5
87,55,055,55 - GLASSPORT,West Mifflin,Bus,2017-01-01,201701,SUN.,419,5
88,56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2017-01-01,201701,SUN.,429.2,5
89,57,057,57 - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,SUN.,602.2,5
90,58,058,58 - GREENFIELD,East Liberty,Bus,2017-01-01,201701,SUN.,155,5
91,59,059,59 - MON VALLEY,West Mifflin,Bus,2017-01-01,201701,SUN.,1007.2,5
92,61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-01-01,201701,SUN.,1961,5
93,61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-01-01,201701,SUN.,1477,5
94,61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-01-01,201701,SUN.,2722.4,5
95,61D,061D,61D - MURRAY,West Mifflin,Bus,2017-01-01,201701,SUN.,2148.2,5
96,64,064,64 - LAWRENCEVILLE - WATERFRONT,West Mifflin,Bus,2017-01-01,201701,SUN.,815.2,5
97,67,067,67 - MONROEVILLE,East Liberty,Bus,2017-01-01,201701,SUN.,453,5
98,68,068,,,Bus,2017-01-01,201701,SUN.,171.4,5
99,69,069,69 - TRAFFORD,East Liberty,Bus,2017-01-01,201701,SUN.,209,5
100,71A,071A,71A - NEGLEY,East Liberty,Bus,2017-01-01,201701,SUN.,1622,5
101,71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-01-01,201701,SUN.,1093,5
102,71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-01-01,201701,SUN.,1797.2,5
103,71D,071D,71D - HAMILTON,East Liberty,Bus,2017-01-01,201701,SUN.,1203.2,5
104,75,075,75 - ELLSWORTH,East Liberty,Bus,2017-01-01,201701,SUN.,1111.2,5
105,77,077,77 - PENN HILLS,East Liberty,Bus,2017-01-01,201701,SUN.,572,5
106,79,079,79 - EAST HILLS,East Liberty,Bus,2017-01-01,201701,SUN.,361.2,5
107,81,081,81 - OAK HILL,West Mifflin,Bus,2017-01-01,201701,SUN.,453.2,5
108,82,082,82 - LINCOLN,East Liberty,Bus,2017-01-01,201701,SUN.,1589.4,5
109,83,083,83 - BEDFORD HILL,West Mifflin,Bus,2017-01-01,201701,SUN.,639,5
110,86,086,86 - LIBERTY,East Liberty,Bus,2017-01-01,201701,SUN.,1415.4,5
111,87,087,87 - FRIENDSHIP,East Liberty,Bus,2017-01-01,201701,SUN.,182.4,5
112,88,088,88 - PENN,East Liberty,Bus,2017-01-01,201701,SUN.,1109,5
113,89,089,89 - GARFIELD COMMONS,East Liberty,Bus,2017-01-01,201701,SUN.,153,5
114,91,091,91 - BUTLER STREET,Ross,Bus,2017-01-01,201701,SUN.,895.2,5
115,G2,G2,G2 - WEST BUSWAY,Collier,Bus,2017-01-01,201701,SUN.,561.4,5
116,P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2017-01-01,201701,SUN.,2826.2,5
117,Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2017-01-01,201701,SUN.,519.2,5
118,Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2017-01-01,201701,SUN.,310,5
119,1,001,1 - FREEPORT ROAD,Ross,Bus,2017-01-01,201701,WEEKDAY,1551.59090909091,22
120,2,002,2 - MOUNT ROYAL,Ross,Bus,2017-01-01,201701,WEEKDAY,1019.90909090909,22
121,4,004,4 - TROY HILL,Ross,Bus,2017-01-01,201701,WEEKDAY,683.772727272727,22
122,6,006,6 - SPRING HILL,Ross,Bus,2017-01-01,201701,WEEKDAY,1134.90909090909,22
123,7,007,7 - SPRING GARDEN,Ross,Bus,2017-01-01,201701,WEEKDAY,147.136363636364,22
124,8,008,8 - PERRYSVILLE,Ross,Bus,2017-01-01,201701,WEEKDAY,3071.40909090909,22
125,11,011,11 - FINEVIEW,Ross,Bus,2017-01-01,201701,WEEKDAY,546.181818181818,22
126,12,012,12 - MCKNIGHT,Ross,Bus,2017-01-01,201701,WEEKDAY,932.681818181818,22
127,13,013,13 - BELLEVUE,Ross,Bus,2017-01-01,201701,WEEKDAY,2005.90909090909,22
128,14,014,14 - OHIO VALLEY,Ross,Bus,2017-01-01,201701,WEEKDAY,1133.90909090909,22
129,15,015,15 - CHARLES,Ross,Bus,2017-01-01,201701,WEEKDAY,1000.45454545455,22
130,16,016,16 - BRIGHTON,Ross,Bus,2017-01-01,201701,WEEKDAY,3736.5,22
131,17,017,17 - SHADELAND,Ross,Bus,2017-01-01,201701,WEEKDAY,1137.27272727273,22
132,18,018,18 - MANCHESTER,Ross,Bus,2017-01-01,201701,WEEKDAY,82.6363636363636,22
133,19L,019L,19L - EMSWORTH LIMITED,Ross,Bus,2017-01-01,201701,WEEKDAY,632.909090909091,22
134,20,020,20 - KENNEDY,Collier,Bus,2017-01-01,201701,WEEKDAY,526.181818181818,22
135,21,021,21 - CORAOPOLIS,Collier,Bus,2017-01-01,201701,WEEKDAY,1164.31818181818,22
136,22,022,22 - MCCOY,Collier,Bus,2017-01-01,201701,WEEKDAY,764.818181818182,22
137,24,024,24 - WEST PARK,Collier,Bus,2017-01-01,201701,WEEKDAY,1469.27272727273,22
138,26,026,26 - CHARTIERS,Collier,Bus,2017-01-01,201701,WEEKDAY,965.545454545455,22
139,27,027,27 - FAIRYWOOD,Collier,Bus,2017-01-01,201701,WEEKDAY,1058.95454545455,22
140,28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,1744.40909090909,22
141,29,029,29 - ROBINSON,Collier,Bus,2017-01-01,201701,WEEKDAY,824.772727272727,22
142,31,031,31 - BRIDGEVILLE,Collier,Bus,2017-01-01,201701,WEEKDAY,1510.5,22
143,36,036,36 - BANKSVILLE,Collier,Bus,2017-01-01,201701,WEEKDAY,540.863636363636,22
144,38,038,38 - GREEN TREE,Collier,Bus,2017-01-01,201701,WEEKDAY,2353.27272727273,22
145,39,039,39 - BROOKLINE,Collier,Bus,2017-01-01,201701,WEEKDAY,1447.95454545455,22
146,40,040,40 - MOUNT WASHINGTON,Ross,Bus,2017-01-01,201701,WEEKDAY,587.909090909091,22
147,41,041,41 - BOWER HILL,Collier,Bus,2017-01-01,201701,WEEKDAY,1652.18181818182,22
148,43,043,43 - BAILEY,Collier,Bus,2017-01-01,201701,WEEKDAY,701.136363636364,22
149,44,044,44 - VIA KNOXVILLE,Collier,Bus,2017-01-01,201701,WEEKDAY,968.181818181818,22
150,48,048,48 - ARLINGTON,Collier,Bus,2017-01-01,201701,WEEKDAY,2957.31818181818,22
151,51,051,51 - CARRICK,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,7397.68181818182,22
152,51L,051L,51L - CARRICK LIMITED,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,702.136363636364,22
153,52L,052L,52L - HOMEVILLE LIMITED,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,407.909090909091,22
154,53L,053L,53L - HOMESTEAD PARK LIMITED,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1287.77272727273,22
155,54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-01-01,201701,WEEKDAY,3775.40909090909,22
156,55,055,55 - GLASSPORT,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,802.954545454545,22
157,56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1617.95454545455,22
158,57,057,57 - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1153.22727272727,22
159,58,058,58 - GREENFIELD,East Liberty,Bus,2017-01-01,201701,WEEKDAY,1139.13636363636,22
160,59,059,59 - MON VALLEY,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1834.81818181818,22
161,60,060,60 - MCKEESPORT - WALNUT,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,462.181818181818,22
162,61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,4466.5,22
163,61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,4035.22727272727,22
164,61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,5764.31818181818,22
165,61D,061D,61D - MURRAY,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,4859.13636363636,22
166,64,064,64 - LAWRENCEVILLE - WATERFRONT,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1566.81818181818,22
167,65,065,65 - SQUIRREL HILL,East Liberty,Bus,2017-01-01,201701,WEEKDAY,391,22
168,67,067,67 - MONROEVILLE,East Liberty,Bus,2017-01-01,201701,WEEKDAY,1953.36363636364,22
169,68,068,,,Bus,2017-01-01,201701,WEEKDAY,302.727272727273,22
170,69,069,69 - TRAFFORD,East Liberty,Bus,2017-01-01,201701,WEEKDAY,1588.72727272727,22
171,71,071,71 - EDGEWOOD TOWN CENTER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,109.590909090909,22
172,71A,071A,71A - NEGLEY,East Liberty,Bus,2017-01-01,201701,WEEKDAY,5747.22727272727,22
173,71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-01-01,201701,WEEKDAY,4569.95454545455,22
174,71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-01-01,201701,WEEKDAY,5609.5,22
175,71D,071D,71D - HAMILTON,East Liberty,Bus,2017-01-01,201701,WEEKDAY,4271,22
176,74,074,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,2017-01-01,201701,WEEKDAY,874.590909090909,22
177,75,075,75 - ELLSWORTH,East Liberty,Bus,2017-01-01,201701,WEEKDAY,3020.86363636364,22
178,77,077,77 - PENN HILLS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,2065.63636363636,22
179,78,078,,,Bus,2017-01-01,201701,WEEKDAY,113.409090909091,22
180,79,079,79 - EAST HILLS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,928.227272727273,22
181,81,081,81 - OAK HILL,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1539.13636363636,22
182,82,082,82 - LINCOLN,East Liberty,Bus,2017-01-01,201701,WEEKDAY,3627.86363636364,22
183,83,083,83 - BEDFORD HILL,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,2168.81818181818,22
184,86,086,86 - LIBERTY,East Liberty,Bus,2017-01-01,201701,WEEKDAY,2714.13636363636,22
185,87,087,87 - FRIENDSHIP,East Liberty,Bus,2017-01-01,201701,WEEKDAY,2676.81818181818,22
186,88,088,88 - PENN,East Liberty,Bus,2017-01-01,201701,WEEKDAY,2992.5,22
187,89,089,89 - GARFIELD COMMONS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,399.227272727273,22
188,91,091,91 - BUTLER STREET,Ross,Bus,2017-01-01,201701,WEEKDAY,3932.77272727273,22
189,93,093,93 - LAWRENCEVILLE - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1644.22727272727,22
190,G2,G2,G2 - WEST BUSWAY,Collier,Bus,2017-01-01,201701,WEEKDAY,3628.09090909091,22
191,G3,G3,G3 - MOON FLYER,Collier,Bus,2017-01-01,201701,WEEKDAY,925.409090909091,22
192,G31,G31,G31 - BRIDGEVILLE FLYER,Collier,Bus,2017-01-01,201701,WEEKDAY,597.454545454545,22
193,O1,O1,O1 - ROSS FLYER,Ross,Bus,2017-01-01,201701,WEEKDAY,1233.09090909091,22
194,O12,O12,O12 - MCKNIGHT FLYER,Ross,Bus,2017-01-01,201701,WEEKDAY,1376.95454545455,22
195,O5,O5,O5 - THOMPSON RUN FLYER VIA 279,Ross,Bus,2017-01-01,201701,WEEKDAY,100.681818181818,22
196,P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,9750.04545454545,22
197,P10,P10,P10 - ALLEGHENY VALLEY FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,687.272727272727,22
198,P12,P12,P12 - HOLIDAY PARK FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,1184.86363636364,22
199,P13,P13,P13 - MOUNT ROYAL FLYER,Ross,Bus,2017-01-01,201701,WEEKDAY,268.727272727273,22
200,P16,P16,P16 - PENN HILLS FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,969.454545454545,22
201,P17,P17,P17 - LINCOLN PARK FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,364.136363636364,22
202,P2,P2,P2 - EAST BUSWAY SHORT,East Liberty,Bus,2017-01-01,201701,WEEKDAY,1401.54545454545,22
203,P3,P3,P3 - EAST BUSWAY-OAKLAND,East Liberty,Bus,2017-01-01,201701,WEEKDAY,2745.68181818182,22
204,P67,P67,P67 - MONROEVILLE FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,443.954545454545,22
205,P68,P68,P68 - BRADDOCK HILLS FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,824.636363636364,22
206,P69,P69,P69 - TRAFFORD FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,244.636363636364,22
207,P7,P7,P7 - MCKEESPORT FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,701.409090909091,22
208,P71,P71,P71 - SWISSVALE FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,622.727272727273,22
209,P76,P76,P76 - LINCOLN HIGHWAY FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1040.59090909091,22
210,P78,P78,P78 - OAKMONT FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,905.909090909091,22
211,Y1,Y1,Y1 - LARGE FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,718.681818181818,22
212,Y45,Y45,Y45 - BALDWIN MANOR FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,265.681818181818,22
213,Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1654,22
214,Y47,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,985.045454545455,22
215,Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1183.31818181818,22
216,BLLB,BLLB,BLUE LINE - LIBRARY,South Hills Village,Light Rail,2017-01-01,201701,SAT.,1177,4
217,BLSV,BLSV,BLUE LINE - SOUTH HILLS VILLAGE,South Hills Village,Light Rail,2017-01-01,201701,SAT.,1006,4
218,RED,RED,RED - Castle Shannon via Beechview,South Hills Village,Rail,2017-01-01,201701,SAT.,4614,4
219,BLLB,BLLB,BLUE LINE - LIBRARY,South Hills Village,Light Rail,2017-01-01,201701,SUN.,1467,5
220,BLSV,BLSV,BLUE LINE - SOUTH HILLS VILLAGE,South Hills Village,Light Rail,2017-01-01,201701,SUN.,1295,5
221,RED,RED,RED - Castle Shannon via Beechview,South Hills Village,Rail,2017-01-01,201701,SUN.,3600.8,5
222,BLLB,BLLB,BLUE LINE - LIBRARY,South Hills Village,Light Rail,2017-01-01,201701,WEEKDAY,6237,22
223,BLSV,BLSV,BLUE LINE - SOUTH HILLS VILLAGE,South Hills Village,Light Rail,2017-01-01,201701,WEEKDAY,8674,22
224,RED,RED,RED - Castle Shannon via Beechview,South Hills Village,Rail,2017-01-01,201701,WEEKDAY,10622.5909090909,22
225,MI,000,MONONGAHELA INCLINE,Incline,Incline,2017-01-01,201701,SAT.,1913.5,4
226,MI,000,MONONGAHELA INCLINE,Incline,Incline,2017-01-01,201701,SUN.,1078.4,5
227,MI,000,MONONGAHELA INCLINE,Incline,Incline,2017-01-01,201701,WEEKDAY,814.045454545455,22
228,1,001,1 - FREEPORT ROAD,Ross,Bus,2017-02-01,201702,SAT.,1238.75,4
229,4,004,4 - TROY HILL,Ross,Bus,2017-02-01,201702,SAT.,278,4
230,6,006,6 - SPRING HILL,Ross,Bus,2017-02-01,201702,SAT.,558.75,4
231,8,008,8 - PERRYSVILLE,Ross,Bus,2017-02-01,201702,SAT.,1749.75,4
232,11,011,11 - FINEVIEW,Ross,Bus,2017-02-01,201702,SAT.,229.25,4
233,12,012,12 - MCKNIGHT,Ross,Bus,2017-02-01,201702,SAT.,1242.25,4
234,13,013,13 - BELLEVUE,Ross,Bus,2017-02-01,201702,SAT.,1474,4
235,14,014,14 - OHIO VALLEY,Ross,Bus,2017-02-01,201702,SAT.,586,4
236,15,015,15 - CHARLES,Ross,Bus,2017-02-01,201702,SAT.,805,4
237,16,016,16 - BRIGHTON,Ross,Bus,2017-02-01,201702,SAT.,2018.75,4
238,17,017,17 - SHADELAND,Ross,Bus,2017-02-01,201702,SAT.,533,4
239,21,021,21 - CORAOPOLIS,Collier,Bus,2017-02-01,201702,SAT.,571,4
240,22,022,22 - MCCOY,Collier,Bus,2017-02-01,201702,SAT.,435,4
241,24,024,24 - WEST PARK,Collier,Bus,2017-02-01,201702,SAT.,1235,4
242,26,026,26 - CHARTIERS,Collier,Bus,2017-02-01,201702,SAT.,577,4
243,27,027,27 - FAIRYWOOD,Collier,Bus,2017-02-01,201702,SAT.,632,4
244,28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-02-01,201702,SAT.,1287.75,4
245,31,031,31 - BRIDGEVILLE,Collier,Bus,2017-02-01,201702,SAT.,866.25,4
246,38,038,38 - GREEN TREE,Collier,Bus,2017-02-01,201702,SAT.,312.75,4
247,39,039,39 - BROOKLINE,Collier,Bus,2017-02-01,201702,SAT.,237,4
248,40,040,40 - MOUNT WASHINGTON,Ross,Bus,2017-02-01,201702,SAT.,236.5,4
249,41,041,41 - BOWER HILL,Collier,Bus,2017-02-01,201702,SAT.,517.5,4
250,43,043,43 - BAILEY,Collier,Bus,2017-02-01,201702,SAT.,375.25,4
251,44,044,44 - VIA KNOXVILLE,Collier,Bus,2017-02-01,201702,SAT.,307,4
252,48,048,48 - ARLINGTON,Collier,Bus,2017-02-01,201702,SAT.,2085,4
253,51,051,51 - CARRICK,West Mifflin,Bus,2017-02-01,201702,SAT.,4782.5,4
254,53,053,53 - HOMESTEAD PARK,West Mifflin,Bus,2017-02-01,201702,SAT.,316.25,4
255,54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-02-01,201702,SAT.,2469.25,4
256,55,055,55 - GLASSPORT,West Mifflin,Bus,2017-02-01,201702,SAT.,643.5,4
257,56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2017-02-01,201702,SAT.,695.25,4
258,57,057,57 - HAZELWOOD,West Mifflin,Bus,2017-02-01,201702,SAT.,941.25,4
259,58,058,58 - GREENFIELD,East Liberty,Bus,2017-02-01,201702,SAT.,314.25,4
260,59,059,59 - MON VALLEY,West Mifflin,Bus,2017-02-01,201702,SAT.,1882,4
261,61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-02-01,201702,SAT.,3391.5,4
262,61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-02-01,201702,SAT.,2974.5,4
263,61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-02-01,201702,SAT.,4497.75,4
264,61D,061D,61D - MURRAY,West Mifflin,Bus,2017-02-01,201702,SAT.,3741.25,4
