STOP_ID,ROUTE,STOP_ROUTE,STOP_NAME,CLEVER_ID,LATITUDE,LONGITUDE,ALL_ROUTES,SHELTER,STOP_TYPE,CURRENT_STOP,FY19_AVG_ON,FY19_AVG_OFF,FY19_AVG_TOTAL,FY19_RANK,1806_ON,1806_OFF,1809_ON,1809_OFF,1811_ON,1811_OFF,1903_ON,1903_OFF,1906_ON,1906_OFF
E40840,79,E40840_79,MT CARMEL RD AT HIGHLANDVIEW,8819,40.468864,-79.886922,79,No Shelter,Bus,,2,6,8,6297,1.2,6.2,1.4,5.8,2.0,6.5,1.8,6.8,1.6,7.2
W10166,26,W10166_26,INGRAM AVE AT MARCROSS AVE,19614,40.443872,-80.066373,"26, 27",No Shelter,Bus,,1,7,8,6298,1.2,6.0,1.6,6.8,1.4,8.2,1.5,7.2,1.3,6.2
W00400,21,W00400_21,4TH AVE AT WATT ST,2367,40.52061,-80.16939,21,No Shelter,Bus,,1,7,8,6299,1.2,6.9,1.2,6.3,1.2,6.1,1.2,7.2,0.5,6.2
E46090,69,E46090_69,PENN AVE AT HOMEWOOD AVE,7694,40.449128,-79.901576,"67, 69, 71C",No Shelter,Bus,,2,6,8,6300,1.2,6.4,1.9,9.7,2.5,5.8,2.7,4.2,1.0,3.4
S23850,51,S23850_51,HWY RT 51 OPP IRWIN DR,9594,40.343458,-79.970471,"51, Y46",No Shelter,Bus,,1,7,8,6301,1.2,5.3,1.5,6.2,1.1,6.2,1.1,6.2,1.4,8.7
E35900,P17,E35900_P17,LINCOLN AVE AT MEADOW ST,8796,40.460929,-79.909888,"82, P17",No Shelter,Bus,,1,7,8,6302,1.1,6.3,0.8,7.0,1.0,6.0,0.9,8.1,0.5,5.5
N21260,1,N21260_1,FREEPORT RD AT COMFORT INN,3173,40.538532,-79.832036,1,No Shelter,Bus,,2,6,8,6303,1.1,4.9,2.4,7.5,2.0,6.6,2.1,6.7,1.9,3.5
W14350,27,W14350_27,MIDDLETOWN RD AT MARTERA PL,19212,40.444179,-80.05594,27,No Shelter,Bus,,1,7,8,6304,1.1,6.1,1.5,5.7,1.0,6.9,0.9,7.3,1.0,7.6
S06276,54,S06276_54,BELTZHOOVER AVE AT ORCHARD P,15839,40.417749,-79.997157,54,No Shelter,Bus,,1,7,8,6305,1.1,6.2,0.4,6.6,0.4,6.9,0.4,9.7,0.4,7.0
E48690,79,E48690_79,ROBINSON BLVD OPP SUNRISE AV,9099,40.450986,-79.86825,79,No Shelter,Bus,,1,7,8,6306,1.1,6.5,2.1,10.7,1.5,7.2,1.3,5.6,0.8,4.8
E21150,77,E21150_77,FRANKSTOWN RD AT LONG RD,14520,40.465666,-79.832374,77,No Shelter,Bus,,1,7,8,6307,1.1,7.2,0.9,8.6,0.3,7.7,0.3,7.4,0.3,5.6
E70158,67,E70158_67,PENN AVE AT CARNEGIE PL FS,18542,40.448003,-79.898143,"67, 69, 71C",No Shelter,Bus,,1,7,8,6308,1.1,5.4,2.1,8.5,1.2,8.1,1.5,7.7,1.1,4.3
E34830,74,E34830_74,LEMINGTON AVE OPP WESTMORELA,8424,40.46685,-79.893672,74,No Shelter,Bus,,2,6,8,6309,1.0,6.5,1.5,7.5,1.3,5.9,2.3,5.1,3.1,4.2
S27680,44,S27680_44,KNOX AVE AT ROCHELLE ST,2675,40.415164,-79.990677,44,No Shelter,Bus,,1,7,8,6310,1.0,7.8,2.0,9.5,0.9,6.8,1.2,6.5,0.0,3.4
S70535,44,S70535_44,CHURCHVIEW AVE AT WAIDLER AV,21574,40.384747,-79.973897,44,No Shelter,Bus,,1,7,8,6311,1.0,4.9,1.6,7.8,1.4,7.8,1.3,6.5,0.6,6.6
E15925,74,E15925_74,EAST LIBERTY BLVD AT BROAD S,9342,40.460895,-79.916038,"74, 75, 89",No Shelter,Bus,,1,7,8,6312,0.9,6.7,0.9,9.3,0.5,6.5,0.8,6.6,1.6,4.3
E18980,P12,E18980_P12,FIESTA DR OPP RIVIERA DR,13640,40.474789,-79.709075,P12,No Shelter,Bus,,1,7,8,6313,0.8,5.5,1.3,9.0,1.0,7.9,0.9,6.8,3.2,3.4
N17350,2,N17350_2,EAST OHIO ST AT HEINZ ST,20673,40.455163,-79.992974,"1, 2",No Shelter,Bus,,2,6,8,6314,0.8,5.2,1.0,8.4,2.5,6.8,3.2,5.1,3.0,3.6
S27040,48,S27040_48,JOSEPHINE ST OPP #3201,19666,40.42015,-79.964276,48,No Shelter,Bus,,1,7,8,6315,0.8,5.0,1.2,7.4,1.4,6.6,0.9,6.8,0.8,7.5
S39790,Y49,S39790_Y49,PROSPECT RD AT WAINWRIGHT AV,9556,40.362198,-79.978565,Y49,No Shelter,Bus,,1,7,8,6316,0.8,5.9,1.4,8.0,1.6,7.0,1.5,7.5,0.3,8.9
E46700,71C,E46700_71C,PENN AVE OPP MURTLAND ST,7692,40.45069,-79.906173,"67, 69, 71C",No Shelter,Bus,,0,8,8,6317,0.8,7.7,0.5,9.2,0.5,6.0,0.3,7.0,0.2,8.5
S09280,51L,S09280_51L,BROWNSVILLE RD AT W GARDEN R,9541,40.377845,-79.975531,"51, 51L",No Shelter,Bus,,1,7,8,6318,0.8,4.3,1.0,6.8,0.2,7.0,0.4,7.2,0.2,9.5
S01150,56,S01150_56,SECOND AVE OPP MANSION ST,12144,40.404037,-79.942448,56,No Shelter,Bus,,1,7,8,6319,0.7,6.6,1.0,7.0,0.7,6.1,1.5,7.1,0.8,8.9
E48390,P68,E48390_P68,REBECCA AVE AT ARDMORE BLVD,7807,40.436745,-79.8736,"68, 69, P68, P69",No Shelter,Bus,,1,7,8,6320,0.7,6.5,1.3,7.0,1.1,5.6,1.9,6.5,1.6,9.2
N35765,2,N35765_2,MT ROYAL BLVD AT HAMPTON AVE,20900,40.554294,-79.971134,"2, P13",No Shelter,Bus,,0,8,8,6321,0.7,7.0,0.3,9.0,0.2,6.4,0.4,7.1,0.4,8.4
N17380,7,N17380_7,EAST OHIO ST AT JAMES ST,1998,40.453556,-80.000466,"1, 2, 4, 54, 6, 7",No Shelter,Bus,,1,7,8,6322,0.7,3.5,0.4,7.1,0.4,7.7,0.6,9.0,1.6,6.0
E21740,77,E21740_77,FRANKSTOWN RD AT SHENANDOAH,14528,40.474184,-79.821728,"77, P16",No Shelter,Bus,,0,8,8,6323,0.7,7.7,0.5,8.2,0.1,7.1,0.4,9.2,0.1,7.3
E41380,64,E41380_64,MURRAY AVE AT WELFER ST,10956,40.425064,-79.928157,"61C, 61D, 64, 93",No Shelter,Bus,,1,7,8,6324,0.6,7.2,0.7,6.9,0.9,7.2,0.9,8.4,1.0,7.0
E58240,67,E58240_67,WM PENN HWY OPP VALUE CITY,13597,40.436447,-79.782542,67,No Shelter,Bus,,1,7,8,6325,0.6,11.0,1.2,7.6,0.3,7.1,0.5,5.3,0.1,5.6
P01620,P69,P01620_P69,EAST BUSWAY AT PENN STATION,1407,40.443918,-79.992138,"1, 11, 15, 19L, 39, 40, 44, 6, P1, P10, P12, P16, P17, P2, P67, P68, P69, P7, P71, P76, P78",No Shelter,Busway,,0,8,8,6326,0.5,7.8,1.5,8.3,0.3,6.3,0.1,7.1,0.1,9.2
W21700,27,W21700_27,STEUBEN ST AT RINGGOLD ST FS,4255,40.442415,-80.0506,"27, 29",No Shelter,Bus,,0,8,8,6327,0.5,9.8,0.7,9.0,0.6,7.2,0.2,8.9,0.1,6.6
