_id,geoid,quarter,ams_bus,ams_oth,ams_res,avg_ns_bus,avg_ns_oth,avg_ns_res,avg_vac_b,avg_vac_o,avg_vac_r,bus_vac,nostat_bus,nostat_oth,nostat_res,ns_12_24_b,ns_12_24_o,ns_12_24_r,ns_24_36_b,ns_24_36_o,ns_24_36_r,ns_36_bus,ns_36_oth,ns_36_res,ns_3_6_bus,ns_3_6_oth,ns_3_6_res,ns_3_bus,ns_3_oth,ns_3_res,ns_6_12_b,ns_6_12_o,ns_6_12_r,oth_vac,pqns_is_b,pqns_is_o,pqns_is_r,pqv_is_bus,pqv_is_oth,pqv_is_res,pqv_ns_bus,pqv_ns_oth,pqv_ns_res,res_vac,vac_12_24b,vac_12_24o,vac_12_24r,vac_24_36b,vac_24_36o,vac_24_36r,vac_36_bus,vac_36_oth,vac_36_res,vac_3_6_b,vac_3_6_o,vac_3_6_r,vac_3_bus,vac_3_oth,vac_3_res,vac_6_12b,vac_6_12o,vac_6_12r,total_address_count,total_avg_vac,total_no_stat,total_pqv_pqns_is,total_vac_count,new_addr_r,new_addr_b,new_addr_o,drop_add_r,drop_add_b,drop_add_o
114129,42003520001,20-Dec,258,21,1667,4553.52,0,2313.03,2080.62,0,1720.34,21,67,0,31,3,0,0,0,0,0,64,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,5,0,3,0,0,3,15,0,15,0,0,0,0,0,3,1,0,8,1946,3800,98,0,53,,,,,,
114130,42003562500,20-Dec,82,41,1528,2382.5,0,3857.62,3510.15,0,2897.67,13,12,0,98,3,0,0,0,0,7,8,0,91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,247,2,0,48,3,0,40,8,0,152,0,0,6,0,0,1,0,0,0,1651,6407,110,1,260,,,,,,
114131,42003526102,20-Dec,42,14,938,3715,0,3047.79,2558.33,0,1421.79,3,8,0,53,0,0,0,0,0,0,7,0,52,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,2,1,0,1,2,0,7,0,0,0,0,0,0,0,0,4,994,3980,61,0,17,,,,,,
114132,42051261200,20-Dec,116,45,1401,3131.45,0,2432.15,267.5,0,573.6,6,40,0,331,2,0,37,1,0,48,32,0,214,4,0,9,0,0,0,1,0,23,0,0,0,0,0,0,1,0,0,0,42,3,0,14,0,0,0,0,0,4,1,0,11,0,0,0,2,0,13,1562,841,371,1,48,,,,,,
114133,42125742200,20-Dec,29,4,830,2330,0,3316.07,0,0,1584,0,7,0,61,3,0,3,0,0,6,3,0,49,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,863,1584,68,1,9,,,,,,
114134,42021000300,20-Dec,102,30,1173,2586.89,0,2572.09,1629.67,0,2095.71,6,28,0,344,4,0,22,8,0,98,14,0,179,0,0,0,0,0,0,2,0,45,0,0,0,3,0,0,4,0,0,0,146,0,0,10,3,0,25,2,0,86,0,0,3,0,0,1,1,0,21,1305,3725,372,7,152,,,,,,
114135,42063960800,20-Dec,260,66,1919,2790.9,0,2525.95,3704,0,986.26,4,39,0,153,3,0,6,3,0,29,27,0,114,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,27,0,0,9,0,0,5,3,0,7,0,0,0,0,0,1,1,0,5,2245,4690,192,0,31,,,,,,
114136,42019902600,20-Dec,74,57,1390,2697.67,0,2007.29,3372.43,0,2918.38,7,3,0,21,0,0,1,0,0,0,3,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,37,0,0,2,1,0,0,6,0,26,0,0,4,0,0,0,0,0,5,1521,6290,24,1,44,,,,,,
114137,42019910100,20-Dec,48,117,1605,2001,0,2104.9,0,0,0,0,17,0,222,1,0,30,2,0,25,10,0,141,2,0,9,0,0,0,2,0,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770,0,239,2,0,,,,,,
114138,42085033300,20-Dec,141,86,1432,1527.31,0,1839,1709.38,0,1440.87,16,32,0,44,9,0,7,10,0,14,9,0,22,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,76,6,0,12,4,0,8,4,0,32,0,0,2,0,0,2,2,0,20,1659,3150,76,1,92,,,,,,
114139,42007605300,20-Dec,76,684,932,2390.3,0,2411.32,4492.5,0,2206.75,8,10,0,82,4,0,7,0,0,4,5,0,61,0,0,2,0,0,4,1,0,4,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,1,1692,6699,92,3,12,,,,,,
114140,42027011400,20-Dec,74,42,2904,1270.2,0,2235.86,804.43,0,1398.8,7,10,0,219,0,0,10,0,0,3,9,0,165,0,0,4,0,0,1,1,0,36,0,0,0,9,0,0,0,0,0,0,25,0,0,2,0,0,1,2,0,9,0,0,2,0,0,0,5,0,11,3020,2203,229,9,32,,,,,,
114141,42027011702,20-Dec,400,108,2284,2657.69,0,2436.02,2492.14,0,1778.41,50,45,0,203,5,0,14,0,0,5,39,0,183,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,51,10,0,0,4,0,9,36,0,23,0,0,2,0,0,0,0,0,17,2792,4270,248,0,101,,,,,,
114142,42043021800,20-Dec,143,51,1059,3141.57,0,2671.67,1256,0,1248.08,11,7,0,6,0,0,0,0,0,0,5,0,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,6,3,0,2,4,0,9,4,0,9,0,0,0,0,0,0,1253,2504,13,0,37,,,,,,
114143,42043022605,20-Dec,34,256,2203,0,0,1945,0,0,1084.5,0,0,0,7,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,0,0,6,0,0,2,0,0,13,0,0,0,0,0,0,0,0,7,2493,1084,7,0,28,,,,,,
114144,42075003600,20-Dec,61,22,1545,3347.5,0,3660.9,3731,0,1059.76,1,4,0,68,0,0,1,0,0,0,3,0,61,0,0,2,0,0,2,1,0,2,0,0,0,3,0,0,0,0,0,0,21,0,0,7,0,0,0,1,0,6,0,0,0,0,0,1,0,0,7,1628,4790,72,3,22,,,,,,
114145,42043023300,20-Dec,119,162,1941,3627.77,0,3944.14,1872,0,1578.39,22,13,0,42,0,0,4,1,0,1,12,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,257,1,0,39,0,0,14,20,0,193,1,0,4,0,0,2,0,0,5,2222,3450,55,3,279,,,,,,
114146,42133000400,20-Dec,95,70,924,3991.33,0,2286.46,4433.22,0,1612.32,9,6,0,26,0,0,0,0,0,16,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,1,8,0,14,1,0,6,0,0,1,0,0,2,1089,6045,32,0,34,,,,,,
